Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,206,509,24
xml_benchmarks/xml-10,1237,2970,102
xml_benchmarks/xml-11,198,468,24
xml_benchmarks/xml-12,667,1302,87
xml_benchmarks/xml-13,620,1276,78
xml_benchmarks/xml-14,1828,3780,153
xml_benchmarks/xml-15,400,927,51
xml_benchmarks/xml-16,224,479,24
xml_benchmarks/xml-17,146,277,15
xml_benchmarks/xml-18,307,696,39
xml_benchmarks/xml-19,745,1553,54
xml_benchmarks/xml-2,139,238,15
xml_benchmarks/xml-20,845,2379,99
xml_benchmarks/xml-21,1168,3207,90
xml_benchmarks/xml-22,739,1603,61
xml_benchmarks/xml-23,2184,6517,165
xml_benchmarks/xml-24,895,2438,96
xml_benchmarks/xml-25,2006,5823,132
xml_benchmarks/xml-26,2028,6635,126
xml_benchmarks/xml-27,2873,9161,195
xml_benchmarks/xml-28,2673,7863,159
xml_benchmarks/xml-29,1974,5593,138
xml_benchmarks/xml-3,139,292,15
xml_benchmarks/xml-30,2120,6002,147
xml_benchmarks/xml-4,948,2506,78
xml_benchmarks/xml-5,129,256,15
xml_benchmarks/xml-6,1497,3793,120
xml_benchmarks/xml-7,875,1905,69
xml_benchmarks/xml-8,197,418,24
xml_benchmarks/xml-9,834,1585,63
