Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,5316,5049,260
c_benchmarks/clang-19595,3819,4137,156
c_benchmarks/clang-20680,9173,14336,525
c_benchmarks/clang-21467,6200,6431,177
c_benchmarks/clang-21582,10077,7100,559
c_benchmarks/clang-22337,6727,2493,236
c_benchmarks/clang-22382,5190,814,144
c_benchmarks/clang-22704,6205,6023,78
c_benchmarks/clang-23309,8323,2408,475
c_benchmarks/clang-23353,7320,1411,98
c_benchmarks/clang-25900,5286,1223,252
c_benchmarks/clang-26350,7283,7132,193
c_benchmarks/clang-26760,4242,4331,91
c_benchmarks/clang-27137,9650,15773,268
c_benchmarks/clang-27747,4075,1561,117
c_benchmarks/clang-31259,4981,2728,384
c_benchmarks/gcc-58731,5342,3273,213
c_benchmarks/gcc-59903,7721,5093,497
c_benchmarks/gcc-60116,9690,3080,443
c_benchmarks/gcc-60452,7775,2368,350
c_benchmarks/gcc-61047,3248,1274,266
c_benchmarks/gcc-61383,6354,3095,271
c_benchmarks/gcc-61917,6352,2622,142
c_benchmarks/gcc-64990,6556,4719,239
c_benchmarks/gcc-65383,4411,1411,153
c_benchmarks/gcc-66186,5319,2918,327
c_benchmarks/gcc-66375,6717,3775,440
c_benchmarks/gcc-66412,7775,2423,350
c_benchmarks/gcc-66691,9465,3774,746
c_benchmarks/gcc-70127,5545,4774,301
c_benchmarks/gcc-70586,7507,8374,197
c_benchmarks/gcc-71626,1007,84,51
