Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,54,308,16
xml_benchmarks/xml-10,256,1721,37
xml_benchmarks/xml-11,85,453,16
xml_benchmarks/xml-12,131,472,16
xml_benchmarks/xml-13,131,489,25
xml_benchmarks/xml-14,403,1485,43
xml_benchmarks/xml-15,110,516,16
xml_benchmarks/xml-16,99,485,16
xml_benchmarks/xml-17,23,95,15
xml_benchmarks/xml-18,92,481,16
xml_benchmarks/xml-19,166,654,36
xml_benchmarks/xml-2,23,88,15
xml_benchmarks/xml-20,385,2546,64
xml_benchmarks/xml-21,254,1675,46
xml_benchmarks/xml-22,94,343,24
xml_benchmarks/xml-23,340,2253,48
xml_benchmarks/xml-24,398,2371,70
xml_benchmarks/xml-25,370,2474,55
xml_benchmarks/xml-26,437,3150,64
xml_benchmarks/xml-27,731,5057,102
xml_benchmarks/xml-28,637,4229,97
xml_benchmarks/xml-29,338,2175,48
xml_benchmarks/xml-3,22,104,15
xml_benchmarks/xml-30,710,4981,78
xml_benchmarks/xml-4,206,1277,13
xml_benchmarks/xml-5,19,88,15
xml_benchmarks/xml-6,113,787,30
xml_benchmarks/xml-7,165,688,33
xml_benchmarks/xml-8,84,391,16
xml_benchmarks/xml-9,288,1952,37
