Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,19261,6503,462
c_benchmarks/clang-19595,11695,6088,276
c_benchmarks/clang-20680,17327,8197,362
c_benchmarks/clang-21467,18010,6924,334
c_benchmarks/clang-21582,31920,6630,1106
c_benchmarks/clang-22337,13369,2672,297
c_benchmarks/clang-22382,11862,1005,198
c_benchmarks/clang-22704,9557,5904,103
c_benchmarks/clang-23309,31500,4361,1109
c_benchmarks/clang-23353,10830,2149,134
c_benchmarks/clang-25900,21110,2094,467
c_benchmarks/clang-26350,28039,16223,418
c_benchmarks/clang-26760,12459,3682,252
c_benchmarks/clang-27137,46304,30776,592
c_benchmarks/clang-27747,14701,1461,298
c_benchmarks/clang-31259,17523,4809,548
c_benchmarks/gcc-58731,12188,5368,366
c_benchmarks/gcc-59903,37725,6516,801
c_benchmarks/gcc-60116,31709,5260,1092
c_benchmarks/gcc-60452,17842,2770,526
c_benchmarks/gcc-61047,15649,2074,538
c_benchmarks/gcc-61383,21649,3772,440
c_benchmarks/gcc-61917,12593,2774,295
c_benchmarks/gcc-64990,16555,10558,407
c_benchmarks/gcc-65383,10806,1823,315
c_benchmarks/gcc-66186,13564,5166,461
c_benchmarks/gcc-66375,24130,10486,827
c_benchmarks/gcc-66412,18050,2817,513
c_benchmarks/gcc-66691,20255,3346,566
c_benchmarks/gcc-70127,19439,14268,675
c_benchmarks/gcc-70586,59019,21249,627
c_benchmarks/gcc-71626,3121,138,53
