Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,21786,6560,482
c_benchmarks/clang-19595,10557,6051,244
c_benchmarks/clang-20680,17319,8634,360
c_benchmarks/clang-21467,15312,7077,310
c_benchmarks/clang-21582,43962,7773,1079
c_benchmarks/clang-22337,14532,2559,301
c_benchmarks/clang-22382,10756,974,200
c_benchmarks/clang-22704,8727,6146,90
c_benchmarks/clang-23309,34376,4449,1088
c_benchmarks/clang-23353,11025,1966,218
c_benchmarks/clang-25900,22325,2102,471
c_benchmarks/clang-26350,31000,16572,457
c_benchmarks/clang-26760,18206,3867,276
c_benchmarks/clang-27137,34495,27642,643
c_benchmarks/clang-27747,10574,1224,302
c_benchmarks/clang-31259,20490,5995,571
c_benchmarks/gcc-58731,7805,4103,368
c_benchmarks/gcc-59903,26201,6255,410
c_benchmarks/gcc-60116,28645,4921,896
c_benchmarks/gcc-60452,16625,2716,508
c_benchmarks/gcc-61047,19548,2516,512
c_benchmarks/gcc-61383,25773,3981,510
c_benchmarks/gcc-61917,13227,2899,300
c_benchmarks/gcc-64990,13983,10599,467
c_benchmarks/gcc-65383,11592,1972,275
c_benchmarks/gcc-66186,24122,7552,503
c_benchmarks/gcc-66375,33444,12762,813
c_benchmarks/gcc-66412,18301,2956,525
c_benchmarks/gcc-66691,30987,6212,1039
c_benchmarks/gcc-70127,21292,14321,640
c_benchmarks/gcc-70586,44401,17414,718
c_benchmarks/gcc-71626,3143,174,53
