Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,3898,4992,264
c_benchmarks/clang-19595,2743,4301,156
c_benchmarks/clang-20680,7576,12363,531
c_benchmarks/clang-21467,4934,6284,169
c_benchmarks/clang-21582,8819,7516,588
c_benchmarks/clang-22337,5014,2446,249
c_benchmarks/clang-22382,3457,610,144
c_benchmarks/clang-22704,4209,4362,78
c_benchmarks/clang-23309,6376,1887,472
c_benchmarks/clang-23353,5104,1494,149
c_benchmarks/clang-25900,3696,971,239
c_benchmarks/clang-26350,5909,6977,228
c_benchmarks/clang-26760,3039,3006,113
c_benchmarks/clang-27137,6754,11437,219
c_benchmarks/clang-27747,2777,1500,130
c_benchmarks/clang-31259,3732,2534,402
c_benchmarks/gcc-58731,3288,3915,264
c_benchmarks/gcc-59903,5869,4577,417
c_benchmarks/gcc-60116,6330,2624,420
c_benchmarks/gcc-60452,6154,2295,346
c_benchmarks/gcc-61047,2616,1006,268
c_benchmarks/gcc-61383,5006,3069,282
c_benchmarks/gcc-61917,4507,2486,147
c_benchmarks/gcc-64990,4890,4596,239
c_benchmarks/gcc-65383,3125,1352,153
c_benchmarks/gcc-66186,4185,3091,327
c_benchmarks/gcc-66375,5038,3914,440
c_benchmarks/gcc-66412,5888,2299,346
c_benchmarks/gcc-66691,7462,3679,680
c_benchmarks/gcc-70127,3959,4245,301
c_benchmarks/gcc-70586,5640,7105,201
c_benchmarks/gcc-71626,747,61,51
c_demo_short/clang-22337,5620,2446,252
c_demo_short/clang-26350,6954,7302,236
c_demo_short/gcc-61047,2600,952,266
