Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,3882,4708,260
c_benchmarks/clang-19595,2784,4209,156
c_benchmarks/clang-20680,6377,8275,545
c_benchmarks/clang-21467,4978,6083,177
c_benchmarks/clang-21582,8361,6554,559
c_benchmarks/clang-22337,5200,2240,250
c_benchmarks/clang-22382,3497,603,144
c_benchmarks/clang-22704,3884,8107,72
c_benchmarks/clang-23309,6520,1766,483
c_benchmarks/clang-23353,4518,1175,98
c_benchmarks/clang-25900,3560,907,252
c_benchmarks/clang-26350,5836,6411,241
c_benchmarks/clang-26760,2890,2776,90
c_benchmarks/clang-27137,6734,10916,268
c_benchmarks/clang-27747,2610,1145,150
c_benchmarks/clang-31259,3690,2473,384
c_benchmarks/gcc-58731,2531,3128,213
c_benchmarks/gcc-59903,5185,3633,300
c_benchmarks/gcc-60116,5995,2498,404
c_benchmarks/gcc-60452,5815,2387,349
c_benchmarks/gcc-61047,2617,958,266
c_benchmarks/gcc-61383,4350,3087,274
c_benchmarks/gcc-61917,4230,1803,142
c_benchmarks/gcc-64990,4836,4469,239
c_benchmarks/gcc-65383,3107,1295,153
c_benchmarks/gcc-66186,4148,3026,327
c_benchmarks/gcc-66375,4949,3501,440
c_benchmarks/gcc-66412,5805,2145,350
c_benchmarks/gcc-66691,6934,3572,603
c_benchmarks/gcc-70127,3794,3880,301
c_benchmarks/gcc-70586,6272,7045,197
c_benchmarks/gcc-71626,761,61,51
