benchmark,benchmark_type,framework,algorithm,time,size,query
clang-18596,c,HDD,probdd,7791,510,26287
clang-18596,c,HDD,saprobdd,6503,462,19261
clang-18596,c,HDD,wprobdd,6560,482,21786
clang-18596,c,Perses,probdd,4992,264,3898
clang-18596,c,Perses,saprobdd,4795,260,3886
clang-18596,c,Perses,wprobdd,4708,260,3882
clang-19595,c,HDD,probdd,6379,310,12625
clang-19595,c,HDD,saprobdd,6088,276,11695
clang-19595,c,HDD,wprobdd,6051,244,10557
clang-19595,c,Perses,probdd,4301,156,2743
clang-19595,c,Perses,saprobdd,4205,156,2816
clang-19595,c,Perses,wprobdd,4209,156,2784
clang-20680,c,HDD,probdd,10349,364,17912
clang-20680,c,HDD,saprobdd,8197,362,17327
clang-20680,c,HDD,wprobdd,8634,360,17319
clang-20680,c,Perses,probdd,12363,531,7576
clang-20680,c,Perses,saprobdd,8200,539,6542
clang-20680,c,Perses,wprobdd,8275,545,6377
clang-21467,c,HDD,probdd,8041,428,16502
clang-21467,c,HDD,saprobdd,6924,334,18010
clang-21467,c,HDD,wprobdd,7077,310,15312
clang-21467,c,Perses,probdd,6284,169,4934
clang-21467,c,Perses,saprobdd,6085,177,4977
clang-21467,c,Perses,wprobdd,6083,177,4978
clang-21582,c,HDD,probdd,7368,1072,49992
clang-21582,c,HDD,saprobdd,6630,1106,31920
clang-21582,c,HDD,wprobdd,7773,1079,43962
clang-21582,c,Perses,probdd,7516,588,8819
clang-21582,c,Perses,saprobdd,6420,559,8361
clang-21582,c,Perses,wprobdd,6554,559,8361
clang-22337,c,HDD,probdd,2777,320,14701
clang-22337,c,HDD,saprobdd,2672,297,13369
clang-22337,c,HDD,wprobdd,2559,301,14532
clang-22337,c,Perses,probdd,2446,249,5014
clang-22337,c,Perses,saprobdd,2268,250,5198
clang-22337,c,Perses,wprobdd,2240,250,5200
clang-22382,c,HDD,probdd,1094,203,11301
clang-22382,c,HDD,saprobdd,1005,198,11862
clang-22382,c,HDD,wprobdd,974,200,10756
clang-22382,c,Perses,probdd,610,144,3457
clang-22382,c,Perses,saprobdd,611,144,3497
clang-22382,c,Perses,wprobdd,603,144,3497
clang-22704,c,HDD,probdd,9384,114,10329
clang-22704,c,HDD,saprobdd,5904,103,9557
clang-22704,c,HDD,wprobdd,6146,90,8727
clang-22704,c,Perses,probdd,4362,78,4209
clang-22704,c,Perses,saprobdd,8187,72,3886
clang-22704,c,Perses,wprobdd,8107,72,3884
clang-23309,c,HDD,probdd,5915,1161,49278
clang-23309,c,HDD,saprobdd,4361,1109,31500
clang-23309,c,HDD,wprobdd,4449,1088,34376
clang-23309,c,Perses,probdd,1887,472,6376
clang-23309,c,Perses,saprobdd,1793,483,6518
clang-23309,c,Perses,wprobdd,1766,483,6520
clang-23353,c,HDD,probdd,2552,175,11843
clang-23353,c,HDD,saprobdd,2149,134,10830
clang-23353,c,HDD,wprobdd,1966,218,11025
clang-23353,c,Perses,probdd,1494,149,5104
clang-23353,c,Perses,saprobdd,1171,98,4516
clang-23353,c,Perses,wprobdd,1175,98,4518
clang-25900,c,HDD,probdd,2148,523,17348
clang-25900,c,HDD,saprobdd,2094,467,21110
clang-25900,c,HDD,wprobdd,2102,471,22325
clang-25900,c,Perses,probdd,971,239,3696
clang-25900,c,Perses,saprobdd,962,252,3562
clang-25900,c,Perses,wprobdd,907,252,3560
clang-26350,c,HDD,probdd,16132,669,37071
clang-26350,c,HDD,saprobdd,16223,418,28039
clang-26350,c,HDD,wprobdd,16572,457,31000
clang-26350,c,Perses,probdd,6977,228,5909
clang-26350,c,Perses,saprobdd,6472,241,5838
clang-26350,c,Perses,wprobdd,6411,241,5836
