benchmark_type,framework,algorithm,mean_type,time,size,query
c,HDD,probdd,arithmetic,7185,550,24650
c,HDD,probdd,geometric,5097,460,20999
xml,HDD,probdd,arithmetic,2218,82,680
xml,HDD,probdd,geometric,1594,68,521
c,HDD,wprobdd,arithmetic,6592,488,20766
c,HDD,wprobdd,geometric,4545,411,18133
xml,HDD,wprobdd,arithmetic,2019,80,642
xml,HDD,wprobdd,geometric,1252,60,438
c,HDD,saprobdd,arithmetic,6495,483,20305
c,HDD,saprobdd,geometric,4351,404,17704
xml,HDD,saprobdd,arithmetic,2044,78,638
xml,HDD,saprobdd,geometric,1273,59,437
c,Perses,probdd,arithmetic,3843,281,4773
c,Perses,probdd,geometric,2797,242,4406
xml,Perses,probdd,arithmetic,1459,37,238
xml,Perses,probdd,geometric,829,30,156
c,Perses,wprobdd,arithmetic,3588,273,4582
c,Perses,wprobdd,geometric,2607,234,4235
xml,Perses,wprobdd,arithmetic,1480,37,241
xml,Perses,wprobdd,geometric,837,30,157
c,Perses,saprobdd,arithmetic,3578,272,4588
c,Perses,saprobdd,geometric,2600,234,4240
xml,Perses,saprobdd,arithmetic,1446,37,241
xml,Perses,saprobdd,geometric,829,30,156
