Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,86158,12968,452
c_benchmarks/clang-19595,65855,9978,285
c_benchmarks/clang-20680,101869,18178,377
c_benchmarks/clang-21467,118873,16785,455
c_benchmarks/clang-21582,124000,16881,1197
c_benchmarks/clang-22337,100901,15627,299
c_benchmarks/clang-22382,91087,6259,182
c_benchmarks/clang-22704,80275,23793,95
c_benchmarks/clang-23309,162065,25262,1086
c_benchmarks/clang-23353,147651,16774,144
c_benchmarks/clang-25900,106939,15836,478
c_benchmarks/clang-26350,117835,56300,391
c_benchmarks/clang-26760,72139,32379,321
c_benchmarks/clang-27137,259586,292484,582
c_benchmarks/clang-27747,41828,3076,299
c_benchmarks/clang-31259,114893,17456,556
c_benchmarks/gcc-58731,49486,8965,431
c_benchmarks/gcc-59903,116611,16400,545
c_benchmarks/gcc-60116,145785,18809,1281
c_benchmarks/gcc-60452,130676,20945,491
c_benchmarks/gcc-61047,81936,8360,495
c_benchmarks/gcc-61383,107994,13997,579
c_benchmarks/gcc-61917,93218,14933,293
c_benchmarks/gcc-64990,87929,35836,325
c_benchmarks/gcc-65383,100767,12405,246
c_benchmarks/gcc-66186,88978,14244,605
c_benchmarks/gcc-66375,169003,58573,1053
c_benchmarks/gcc-66412,126092,19806,491
c_benchmarks/gcc-66691,121346,16094,1076
c_benchmarks/gcc-70127,145452,85080,617
c_benchmarks/gcc-70586,127760,82061,792
c_benchmarks/gcc-71626,73801,2370,53
