Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,4789,5039,260
c_benchmarks/clang-19595,3460,4096,156
c_benchmarks/clang-20680,7978,12546,537
c_benchmarks/clang-21467,5775,6187,177
c_benchmarks/clang-21582,9554,7028,559
c_benchmarks/clang-22337,6165,2496,236
c_benchmarks/clang-22382,4663,681,144
c_benchmarks/clang-22704,5207,5209,78
c_benchmarks/clang-23309,7632,2344,475
c_benchmarks/clang-23353,6736,1482,113
c_benchmarks/clang-25900,4766,2143,252
c_benchmarks/clang-26350,7935,7508,193
c_benchmarks/clang-26760,3886,3179,91
c_benchmarks/clang-27137,9084,13296,325
c_benchmarks/clang-27747,3146,1174,117
c_benchmarks/clang-31259,4609,2711,384
c_benchmarks/gcc-58731,4651,3406,213
c_benchmarks/gcc-59903,7183,4266,382
c_benchmarks/gcc-60116,8836,3069,443
c_benchmarks/gcc-60452,7082,2581,342
c_benchmarks/gcc-61047,3275,1094,266
c_benchmarks/gcc-61383,5461,3440,274
c_benchmarks/gcc-61917,5327,1765,142
c_benchmarks/gcc-64990,5859,4745,239
c_benchmarks/gcc-65383,3961,1345,153
c_benchmarks/gcc-66186,5044,3059,327
c_benchmarks/gcc-66375,6241,4098,440
c_benchmarks/gcc-66412,7104,2874,342
c_benchmarks/gcc-66691,9022,4008,746
c_benchmarks/gcc-70127,5086,4633,301
c_benchmarks/gcc-70586,7443,9359,367
c_benchmarks/gcc-71626,1010,63,51
