Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,54,170,16
xml_benchmarks/xml-10,246,953,37
xml_benchmarks/xml-11,86,277,16
xml_benchmarks/xml-12,125,298,16
xml_benchmarks/xml-13,123,321,25
xml_benchmarks/xml-14,388,1005,43
xml_benchmarks/xml-15,104,315,16
xml_benchmarks/xml-16,98,290,16
xml_benchmarks/xml-17,26,69,15
xml_benchmarks/xml-18,90,282,16
xml_benchmarks/xml-19,162,443,36
xml_benchmarks/xml-2,18,48,15
xml_benchmarks/xml-20,371,1393,64
xml_benchmarks/xml-21,242,977,46
xml_benchmarks/xml-22,99,259,24
xml_benchmarks/xml-23,379,1556,51
xml_benchmarks/xml-24,382,1395,70
xml_benchmarks/xml-25,358,1415,55
xml_benchmarks/xml-26,440,1826,64
xml_benchmarks/xml-27,710,2909,102
xml_benchmarks/xml-28,634,2502,97
xml_benchmarks/xml-29,329,1294,48
xml_benchmarks/xml-3,21,62,15
xml_benchmarks/xml-30,701,2866,78
xml_benchmarks/xml-4,200,794,13
xml_benchmarks/xml-5,21,60,15
xml_benchmarks/xml-6,108,451,30
xml_benchmarks/xml-7,156,429,33
xml_benchmarks/xml-8,85,245,16
xml_benchmarks/xml-9,273,920,37
