Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,54,169,16
xml_benchmarks/xml-10,248,941,37
xml_benchmarks/xml-11,86,281,16
xml_benchmarks/xml-12,124,289,16
xml_benchmarks/xml-13,123,321,25
xml_benchmarks/xml-14,388,1008,43
xml_benchmarks/xml-15,104,316,16
xml_benchmarks/xml-16,98,296,16
xml_benchmarks/xml-17,25,69,15
xml_benchmarks/xml-18,91,283,16
xml_benchmarks/xml-19,162,438,36
xml_benchmarks/xml-2,18,47,15
xml_benchmarks/xml-20,369,1416,64
xml_benchmarks/xml-21,242,931,46
xml_benchmarks/xml-22,98,251,24
xml_benchmarks/xml-23,380,1565,51
xml_benchmarks/xml-24,381,1401,70
xml_benchmarks/xml-25,357,1413,55
xml_benchmarks/xml-26,436,1810,64
xml_benchmarks/xml-27,713,2901,102
xml_benchmarks/xml-28,633,2529,97
xml_benchmarks/xml-29,329,1297,48
xml_benchmarks/xml-3,20,61,15
xml_benchmarks/xml-30,700,2859,78
xml_benchmarks/xml-4,203,792,13
xml_benchmarks/xml-5,20,60,15
xml_benchmarks/xml-6,109,427,30
xml_benchmarks/xml-7,155,426,33
xml_benchmarks/xml-8,85,256,16
xml_benchmarks/xml-9,273,901,37
