Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,22721,7327,533
c_benchmarks/clang-19595,11648,6074,333
c_benchmarks/clang-20680,16789,10352,318
c_benchmarks/clang-21467,19669,8775,412
c_benchmarks/clang-21582,35364,4761,1013
c_benchmarks/clang-22337,14227,2745,315
c_benchmarks/clang-22382,11904,1107,201
c_benchmarks/clang-22704,9322,7537,104
c_benchmarks/clang-23309,52449,5959,1131
c_benchmarks/clang-23353,11166,2674,152
c_benchmarks/clang-25900,15180,2079,513
c_benchmarks/clang-26350,30114,14468,552
c_benchmarks/clang-26760,10819,4927,330
c_benchmarks/clang-27137,44924,26548,615
c_benchmarks/clang-27747,8680,1158,366
c_benchmarks/clang-31259,19725,4939,552
c_benchmarks/gcc-58731,10183,5674,424
c_benchmarks/gcc-59903,38940,4741,731
c_benchmarks/gcc-60116,66955,8319,1137
c_benchmarks/gcc-60452,18481,3401,576
c_benchmarks/gcc-61047,16136,2105,569
c_benchmarks/gcc-61383,27749,4360,544
c_benchmarks/gcc-61917,15005,3713,314
c_benchmarks/gcc-64990,16953,10971,505
c_benchmarks/gcc-65383,17915,2547,264
c_benchmarks/gcc-66186,36188,11079,555
c_benchmarks/gcc-66375,33480,13332,820
c_benchmarks/gcc-66412,29822,3895,526
c_benchmarks/gcc-66691,26436,4445,1056
c_benchmarks/gcc-70127,38566,18168,634
c_benchmarks/gcc-70586,60686,20464,899
c_benchmarks/gcc-71626,3497,281,53
