Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,164,537,30
xml_benchmarks/xml-10,876,3092,102
xml_benchmarks/xml-11,524,1651,90
xml_benchmarks/xml-12,567,1233,96
xml_benchmarks/xml-13,455,1084,78
xml_benchmarks/xml-14,1316,3019,153
xml_benchmarks/xml-15,291,933,51
xml_benchmarks/xml-16,523,1649,60
xml_benchmarks/xml-17,90,207,15
xml_benchmarks/xml-18,233,812,39
xml_benchmarks/xml-19,603,1294,66
xml_benchmarks/xml-2,87,176,15
xml_benchmarks/xml-20,582,2175,99
xml_benchmarks/xml-21,840,3068,93
xml_benchmarks/xml-22,508,1091,61
xml_benchmarks/xml-23,1455,5356,165
xml_benchmarks/xml-24,626,2166,99
xml_benchmarks/xml-25,895,3201,135
xml_benchmarks/xml-26,1207,4679,126
xml_benchmarks/xml-27,1695,6426,186
xml_benchmarks/xml-28,1548,5265,159
xml_benchmarks/xml-29,1392,4983,147
xml_benchmarks/xml-3,89,215,15
xml_benchmarks/xml-30,1358,4981,147
xml_benchmarks/xml-4,682,2417,78
xml_benchmarks/xml-5,361,1153,42
xml_benchmarks/xml-6,659,2176,75
xml_benchmarks/xml-7,621,1416,69
xml_benchmarks/xml-8,137,393,24
xml_benchmarks/xml-9,814,2887,90
