Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,19261,6531,462
c_benchmarks/clang-19595,11695,6103,276
c_benchmarks/clang-20680,17327,8211,362
c_benchmarks/clang-21467,18010,6905,334
c_benchmarks/clang-21582,31920,6584,1106
c_benchmarks/clang-22337,13340,2690,297
c_benchmarks/clang-22382,11862,999,198
c_benchmarks/clang-22704,9557,5819,103
c_benchmarks/clang-23309,31500,4314,1109
c_benchmarks/clang-23353,10830,2156,134
c_benchmarks/clang-25900,21110,2059,467
c_benchmarks/clang-26350,28354,16049,471
c_benchmarks/clang-26760,12458,3560,252
c_benchmarks/clang-27137,46304,30613,592
c_benchmarks/clang-27747,14701,1456,298
c_benchmarks/clang-31259,17523,4774,548
c_benchmarks/gcc-58731,12180,5375,366
c_benchmarks/gcc-59903,37725,6479,801
c_benchmarks/gcc-60116,32251,5300,1114
c_benchmarks/gcc-60452,18049,2767,513
c_benchmarks/gcc-61047,15648,2072,538
c_benchmarks/gcc-61383,21649,3771,440
c_benchmarks/gcc-61917,12593,2798,295
c_benchmarks/gcc-64990,16555,10482,407
c_benchmarks/gcc-65383,10806,1818,315
c_benchmarks/gcc-66186,13564,5144,461
c_benchmarks/gcc-66375,24130,10489,827
c_benchmarks/gcc-66412,18050,2809,513
c_benchmarks/gcc-66691,20255,3338,566
c_benchmarks/gcc-70127,19439,14223,675
c_benchmarks/gcc-70586,113051,32269,485
c_benchmarks/gcc-71626,3121,139,53
