Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,138,415,24
xml_benchmarks/xml-10,893,2801,102
xml_benchmarks/xml-11,141,411,24
xml_benchmarks/xml-12,513,1144,87
xml_benchmarks/xml-13,466,1114,78
xml_benchmarks/xml-14,1330,3347,153
xml_benchmarks/xml-15,304,942,51
xml_benchmarks/xml-16,151,467,24
xml_benchmarks/xml-17,88,209,15
xml_benchmarks/xml-18,232,727,39
xml_benchmarks/xml-19,507,1225,54
xml_benchmarks/xml-2,86,166,15
xml_benchmarks/xml-20,584,2223,99
xml_benchmarks/xml-21,799,2534,90
xml_benchmarks/xml-22,508,1220,61
xml_benchmarks/xml-23,1434,5154,165
xml_benchmarks/xml-24,585,2003,96
xml_benchmarks/xml-25,1179,4127,132
xml_benchmarks/xml-26,1121,4019,126
xml_benchmarks/xml-27,1597,5789,186
xml_benchmarks/xml-28,1433,4956,159
xml_benchmarks/xml-29,1231,4307,138
xml_benchmarks/xml-3,88,212,15
xml_benchmarks/xml-30,1328,4603,147
xml_benchmarks/xml-4,706,2407,78
xml_benchmarks/xml-5,85,194,15
xml_benchmarks/xml-6,279,754,30
xml_benchmarks/xml-7,628,1545,69
xml_benchmarks/xml-8,142,358,24
xml_benchmarks/xml-9,586,1027,63
