Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,21785,6561,482
c_benchmarks/clang-19595,10557,6069,244
c_benchmarks/clang-20680,17319,8643,360
c_benchmarks/clang-21467,15312,7073,310
c_benchmarks/clang-21582,33467,6364,1079
c_benchmarks/clang-22337,14532,2555,301
c_benchmarks/clang-22382,10756,973,200
c_benchmarks/clang-22704,8727,6139,90
c_benchmarks/clang-23309,31941,4210,1089
c_benchmarks/clang-23353,11025,1964,218
c_benchmarks/clang-25900,22325,2112,471
c_benchmarks/clang-26350,29981,16479,463
c_benchmarks/clang-26760,18206,3860,276
c_benchmarks/clang-27137,33660,27105,661
c_benchmarks/clang-27747,10574,1227,302
c_benchmarks/clang-31259,20490,5989,571
c_benchmarks/gcc-58731,7495,4121,368
c_benchmarks/gcc-59903,26201,6270,410
c_benchmarks/gcc-60116,27815,4707,889
c_benchmarks/gcc-60452,16368,2636,495
c_benchmarks/gcc-61047,19548,2512,512
c_benchmarks/gcc-61383,22386,3688,495
c_benchmarks/gcc-61917,13227,2918,300
c_benchmarks/gcc-64990,13983,10529,467
c_benchmarks/gcc-65383,11592,1974,275
c_benchmarks/gcc-66186,24122,7514,503
c_benchmarks/gcc-66375,33444,12757,813
c_benchmarks/gcc-66412,22829,3324,583
c_benchmarks/gcc-66691,30987,6201,1039
c_benchmarks/gcc-70127,20033,13795,635
c_benchmarks/gcc-70586,56039,19320,654
c_benchmarks/gcc-71626,3143,137,53
