Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,3910,5027,266
c_benchmarks/clang-19595,2699,4196,156
c_benchmarks/clang-20680,6209,8606,537
c_benchmarks/clang-21467,4742,6208,158
c_benchmarks/clang-21582,8312,6499,559
c_benchmarks/clang-22382,3390,625,144
c_benchmarks/clang-22704,4166,4250,78
c_benchmarks/clang-23309,6397,1843,464
c_benchmarks/clang-23353,5154,1436,113
c_benchmarks/clang-25900,3702,968,239
c_benchmarks/clang-26350,5589,7170,193
c_benchmarks/clang-26760,3083,3091,120
c_benchmarks/clang-27137,6642,11717,268
c_benchmarks/clang-27747,2978,1639,150
c_benchmarks/clang-31259,3750,2512,406
c_benchmarks/gcc-58731,3443,3883,253
c_benchmarks/gcc-59903,6143,4693,482
c_benchmarks/gcc-60116,5954,2506,400
c_benchmarks/gcc-60452,5892,2233,347
c_benchmarks/gcc-61383,5281,2846,297
c_benchmarks/gcc-61917,4513,2461,150
c_benchmarks/gcc-64990,4419,3746,239
c_benchmarks/gcc-65383,3131,1339,153
c_benchmarks/gcc-66186,4189,2968,327
c_benchmarks/gcc-66375,4985,3909,440
c_benchmarks/gcc-66412,5895,2300,350
c_benchmarks/gcc-66691,7107,3916,585
c_benchmarks/gcc-70127,3967,4373,301
c_benchmarks/gcc-70586,5851,7387,358
c_benchmarks/gcc-71626,746,73,51
c_demo_short/clang-22337,5659,2376,263
c_demo_short/gcc-61047,2600,952,266
