Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,54,306,16
xml_benchmarks/xml-10,252,1690,37
xml_benchmarks/xml-11,84,450,16
xml_benchmarks/xml-12,128,464,16
xml_benchmarks/xml-13,131,491,25
xml_benchmarks/xml-14,403,1477,43
xml_benchmarks/xml-15,109,488,16
xml_benchmarks/xml-16,100,488,16
xml_benchmarks/xml-17,24,99,15
xml_benchmarks/xml-18,91,486,16
xml_benchmarks/xml-19,164,667,36
xml_benchmarks/xml-2,23,85,15
xml_benchmarks/xml-20,387,2546,64
xml_benchmarks/xml-21,258,1682,46
xml_benchmarks/xml-22,95,343,24
xml_benchmarks/xml-23,385,2549,51
xml_benchmarks/xml-24,395,2357,70
xml_benchmarks/xml-25,370,2443,55
xml_benchmarks/xml-26,436,3124,64
xml_benchmarks/xml-27,731,5044,102
xml_benchmarks/xml-28,639,4125,97
xml_benchmarks/xml-29,342,2177,48
xml_benchmarks/xml-3,23,115,15
xml_benchmarks/xml-30,706,4963,78
xml_benchmarks/xml-4,204,1262,13
xml_benchmarks/xml-5,19,88,15
xml_benchmarks/xml-6,108,749,30
xml_benchmarks/xml-7,168,734,33
xml_benchmarks/xml-8,85,380,16
xml_benchmarks/xml-9,286,1942,37
