Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,3883,4790,260
c_benchmarks/clang-19595,2787,4222,156
c_benchmarks/clang-20680,8429,10770,546
c_benchmarks/clang-21467,4976,6095,177
c_benchmarks/clang-21582,8361,6506,559
c_benchmarks/clang-22337,5197,2259,250
c_benchmarks/clang-22382,3497,594,144
c_benchmarks/clang-22704,3886,8204,72
c_benchmarks/clang-23309,6519,1794,483
c_benchmarks/clang-23353,4517,1188,98
c_benchmarks/clang-25900,3563,975,252
c_benchmarks/clang-26350,5848,6432,241
c_benchmarks/clang-26760,2890,2785,90
c_benchmarks/clang-27137,6730,10947,268
c_benchmarks/clang-27747,2609,1140,150
c_benchmarks/clang-31259,3691,2445,384
c_benchmarks/gcc-58731,2532,3162,213
c_benchmarks/gcc-59903,5186,3753,300
c_benchmarks/gcc-60116,5994,2475,404
c_benchmarks/gcc-60452,5817,2108,350
c_benchmarks/gcc-61047,2617,933,266
c_benchmarks/gcc-61383,4351,3101,274
c_benchmarks/gcc-61917,4234,1815,142
c_benchmarks/gcc-64990,4837,4465,239
c_benchmarks/gcc-65383,3103,1242,153
c_benchmarks/gcc-66186,4149,2972,327
c_benchmarks/gcc-66375,4947,3468,440
c_benchmarks/gcc-66412,5804,2193,350
c_benchmarks/gcc-66691,6936,3542,603
c_benchmarks/gcc-70127,3792,3828,301
c_benchmarks/gcc-70586,6278,7071,197
c_benchmarks/gcc-71626,761,67,51
