Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,54,289,16
xml_benchmarks/xml-10,261,1705,37
xml_benchmarks/xml-11,84,448,16
xml_benchmarks/xml-12,132,472,16
xml_benchmarks/xml-13,134,496,25
xml_benchmarks/xml-14,403,1493,43
xml_benchmarks/xml-15,110,542,16
xml_benchmarks/xml-16,99,485,16
xml_benchmarks/xml-17,24,110,15
xml_benchmarks/xml-18,91,491,16
xml_benchmarks/xml-19,167,701,36
xml_benchmarks/xml-2,20,73,15
xml_benchmarks/xml-20,379,2398,64
xml_benchmarks/xml-21,265,1787,46
xml_benchmarks/xml-22,93,365,24
xml_benchmarks/xml-23,389,2603,51
xml_benchmarks/xml-24,396,2319,70
xml_benchmarks/xml-25,372,2474,55
xml_benchmarks/xml-26,440,3005,64
xml_benchmarks/xml-27,725,4858,102
xml_benchmarks/xml-28,637,4151,97
xml_benchmarks/xml-29,341,2147,48
xml_benchmarks/xml-3,23,108,15
xml_benchmarks/xml-30,712,4803,78
xml_benchmarks/xml-4,208,1311,13
xml_benchmarks/xml-5,19,88,15
xml_benchmarks/xml-6,112,759,30
xml_benchmarks/xml-7,165,680,33
xml_benchmarks/xml-8,85,372,16
xml_benchmarks/xml-9,292,1885,37
