Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,3882,4701,260
c_benchmarks/clang-19595,2784,4202,156
c_benchmarks/clang-20680,6050,6818,546
c_benchmarks/clang-21467,4979,6086,177
c_benchmarks/clang-21582,8361,6545,559
c_benchmarks/clang-22337,5202,2244,250
c_benchmarks/clang-22382,3498,589,144
c_benchmarks/clang-22704,3885,8145,72
c_benchmarks/clang-23309,6520,1762,483
c_benchmarks/clang-23353,4517,1220,98
c_benchmarks/clang-25900,3557,903,252
c_benchmarks/clang-26350,5833,6406,241
c_benchmarks/clang-26760,2904,2776,90
c_benchmarks/clang-27137,6733,10932,268
c_benchmarks/clang-27747,2609,1144,150
c_benchmarks/clang-31259,3690,2503,384
c_benchmarks/gcc-58731,2531,3101,213
c_benchmarks/gcc-59903,5185,3639,300
c_benchmarks/gcc-60116,5998,2537,404
c_benchmarks/gcc-60452,5831,2424,350
c_benchmarks/gcc-61047,2616,959,266
c_benchmarks/gcc-61383,4349,3069,274
c_benchmarks/gcc-61917,4231,1786,142
c_benchmarks/gcc-64990,4836,4491,239
c_benchmarks/gcc-65383,3105,1295,153
c_benchmarks/gcc-66186,4149,2973,327
c_benchmarks/gcc-66375,4949,3516,440
c_benchmarks/gcc-66412,5806,2153,350
c_benchmarks/gcc-66691,6934,3578,603
c_benchmarks/gcc-70127,3793,3886,301
c_benchmarks/gcc-70586,6242,7086,197
c_benchmarks/gcc-71626,761,61,51
