Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,54,309,16
xml_benchmarks/xml-10,261,1764,37
xml_benchmarks/xml-11,85,455,16
xml_benchmarks/xml-12,131,466,16
xml_benchmarks/xml-13,134,501,25
xml_benchmarks/xml-14,408,1492,43
xml_benchmarks/xml-15,111,546,16
xml_benchmarks/xml-16,100,503,16
xml_benchmarks/xml-17,24,105,15
xml_benchmarks/xml-18,89,469,16
xml_benchmarks/xml-19,164,623,36
xml_benchmarks/xml-2,21,80,15
xml_benchmarks/xml-20,379,2555,64
xml_benchmarks/xml-21,266,1791,46
xml_benchmarks/xml-22,91,328,24
xml_benchmarks/xml-23,388,2711,51
xml_benchmarks/xml-24,398,2436,70
xml_benchmarks/xml-25,372,2539,55
xml_benchmarks/xml-26,441,3230,64
xml_benchmarks/xml-27,722,5081,102
xml_benchmarks/xml-28,638,4351,97
xml_benchmarks/xml-29,343,2240,48
xml_benchmarks/xml-3,23,107,15
xml_benchmarks/xml-30,711,4992,78
xml_benchmarks/xml-4,209,1331,13
xml_benchmarks/xml-5,19,86,15
xml_benchmarks/xml-6,113,789,30
xml_benchmarks/xml-7,168,669,33
xml_benchmarks/xml-8,84,416,16
xml_benchmarks/xml-9,292,1986,37
