Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,206,542,24
xml_benchmarks/xml-10,1237,3250,102
xml_benchmarks/xml-11,198,470,24
xml_benchmarks/xml-12,667,1373,87
xml_benchmarks/xml-13,620,1307,78
xml_benchmarks/xml-14,1828,3985,153
xml_benchmarks/xml-15,400,1033,51
xml_benchmarks/xml-16,224,511,24
xml_benchmarks/xml-17,146,285,15
xml_benchmarks/xml-18,307,747,39
xml_benchmarks/xml-19,745,1671,54
xml_benchmarks/xml-2,139,247,15
xml_benchmarks/xml-20,845,2471,99
xml_benchmarks/xml-21,1172,3351,90
xml_benchmarks/xml-22,749,1677,61
xml_benchmarks/xml-23,2184,7000,165
xml_benchmarks/xml-24,903,2612,96
xml_benchmarks/xml-25,2005,6238,132
xml_benchmarks/xml-26,2029,7161,126
xml_benchmarks/xml-27,2865,9823,195
xml_benchmarks/xml-28,2681,8414,159
xml_benchmarks/xml-29,1977,6025,138
xml_benchmarks/xml-3,139,296,15
xml_benchmarks/xml-30,2121,6510,147
xml_benchmarks/xml-4,947,2707,78
xml_benchmarks/xml-5,129,270,15
xml_benchmarks/xml-6,1495,4050,120
xml_benchmarks/xml-7,875,1992,69
xml_benchmarks/xml-8,197,459,24
xml_benchmarks/xml-9,837,1817,63
