Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,43215,9023,425
c_benchmarks/clang-19595,31545,7492,267
c_benchmarks/clang-20680,46977,11370,385
c_benchmarks/clang-21467,44755,9853,415
c_benchmarks/clang-21582,77579,9237,1164
c_benchmarks/clang-22337,41517,5630,317
c_benchmarks/clang-22382,38529,2424,188
c_benchmarks/clang-22704,44837,11137,95
c_benchmarks/clang-23309,76175,8393,1012
c_benchmarks/clang-23353,70337,6729,153
c_benchmarks/clang-25900,41904,3411,501
c_benchmarks/clang-26350,62328,25200,612
c_benchmarks/clang-26760,33882,6147,235
c_benchmarks/clang-27137,101431,65159,524
c_benchmarks/clang-27747,26659,2144,299
c_benchmarks/clang-31259,54340,7956,541
c_benchmarks/gcc-58731,26762,5741,399
c_benchmarks/gcc-59903,54208,7511,696
c_benchmarks/gcc-60116,66075,8271,874
c_benchmarks/gcc-60452,53517,6461,523
c_benchmarks/gcc-61047,43412,3684,505
c_benchmarks/gcc-61383,52229,5921,441
c_benchmarks/gcc-61917,41282,6240,311
c_benchmarks/gcc-64990,51845,19917,386
c_benchmarks/gcc-65383,42486,5085,249
c_benchmarks/gcc-66186,39943,6827,559
c_benchmarks/gcc-66375,76725,20950,865
c_benchmarks/gcc-66412,53517,6408,523
c_benchmarks/gcc-66691,75250,9093,1039
c_benchmarks/gcc-70127,60300,28239,538
c_benchmarks/gcc-70586,85930,38290,816
c_benchmarks/gcc-71626,17048,488,53
