Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,206,543,24
xml_benchmarks/xml-10,1237,3194,102
xml_benchmarks/xml-11,198,460,24
xml_benchmarks/xml-12,667,1370,87
xml_benchmarks/xml-13,620,1302,78
xml_benchmarks/xml-14,1828,4028,153
xml_benchmarks/xml-15,400,1031,51
xml_benchmarks/xml-16,224,507,24
xml_benchmarks/xml-17,146,300,15
xml_benchmarks/xml-18,307,721,39
xml_benchmarks/xml-19,745,1675,54
xml_benchmarks/xml-2,139,249,15
xml_benchmarks/xml-20,845,2442,99
xml_benchmarks/xml-21,1169,3368,90
xml_benchmarks/xml-22,749,1682,61
xml_benchmarks/xml-23,2184,6993,165
xml_benchmarks/xml-24,903,2620,96
xml_benchmarks/xml-25,2005,6236,132
xml_benchmarks/xml-26,2024,7155,126
xml_benchmarks/xml-27,2868,9780,195
xml_benchmarks/xml-28,2659,8384,159
xml_benchmarks/xml-29,1978,6036,138
xml_benchmarks/xml-3,139,295,15
xml_benchmarks/xml-30,2118,6471,147
xml_benchmarks/xml-4,947,2685,78
xml_benchmarks/xml-5,129,267,15
xml_benchmarks/xml-6,1497,4055,120
xml_benchmarks/xml-7,875,1999,69
xml_benchmarks/xml-8,197,471,24
xml_benchmarks/xml-9,834,1682,63
