Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,53,286,16
xml_benchmarks/xml-10,252,1580,37
xml_benchmarks/xml-11,86,472,16
xml_benchmarks/xml-12,130,480,16
xml_benchmarks/xml-13,131,506,25
xml_benchmarks/xml-14,399,1487,43
xml_benchmarks/xml-15,108,520,16
xml_benchmarks/xml-16,98,438,16
xml_benchmarks/xml-17,26,100,15
xml_benchmarks/xml-18,93,429,16
xml_benchmarks/xml-19,168,649,36
xml_benchmarks/xml-2,19,72,15
xml_benchmarks/xml-20,376,2169,64
xml_benchmarks/xml-21,249,1512,46
xml_benchmarks/xml-22,101,397,24
xml_benchmarks/xml-23,385,2373,51
xml_benchmarks/xml-24,386,2272,70
xml_benchmarks/xml-25,363,2248,55
xml_benchmarks/xml-26,443,2999,64
xml_benchmarks/xml-27,722,4740,102
xml_benchmarks/xml-28,637,4090,97
xml_benchmarks/xml-29,331,2045,48
xml_benchmarks/xml-3,20,94,15
xml_benchmarks/xml-30,706,4622,78
xml_benchmarks/xml-4,206,1320,13
xml_benchmarks/xml-5,21,100,15
xml_benchmarks/xml-6,110,708,30
xml_benchmarks/xml-7,162,688,33
xml_benchmarks/xml-8,84,395,16
xml_benchmarks/xml-9,280,1572,37
