Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,4754,5015,260
c_benchmarks/clang-19595,3471,4085,156
c_benchmarks/clang-20680,7991,12689,534
c_benchmarks/clang-21467,5620,6189,177
c_benchmarks/clang-21582,9631,7093,559
c_benchmarks/clang-22337,6189,2433,236
c_benchmarks/clang-22382,4484,693,144
c_benchmarks/clang-22704,5165,4601,78
c_benchmarks/clang-23309,7900,2179,464
c_benchmarks/clang-23353,5802,1130,98
c_benchmarks/clang-25900,4616,1135,252
c_benchmarks/clang-26350,7910,7916,193
c_benchmarks/clang-26760,3807,3090,91
c_benchmarks/clang-27137,9075,13858,325
c_benchmarks/clang-27747,3111,1354,117
c_benchmarks/clang-31259,4581,2738,384
c_benchmarks/gcc-58731,4520,3450,213
c_benchmarks/gcc-59903,7226,4282,382
c_benchmarks/gcc-60116,8812,3104,443
c_benchmarks/gcc-60452,7046,2364,342
c_benchmarks/gcc-61047,3269,1010,266
c_benchmarks/gcc-61383,5620,3207,274
c_benchmarks/gcc-61917,5405,1733,142
c_benchmarks/gcc-64990,5858,4695,239
c_benchmarks/gcc-65383,3960,1433,153
c_benchmarks/gcc-66186,4935,2914,327
c_benchmarks/gcc-66375,6189,3780,440
c_benchmarks/gcc-66412,7044,2421,342
c_benchmarks/gcc-66691,9057,3764,746
c_benchmarks/gcc-70127,5081,4510,301
c_benchmarks/gcc-70586,7338,8672,367
c_benchmarks/gcc-71626,1010,64,51
