Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,4781,5038,260
c_benchmarks/clang-19595,3453,4060,156
c_benchmarks/clang-20680,5807,8235,524
c_benchmarks/clang-21467,5770,6206,177
c_benchmarks/clang-21582,9559,7087,559
c_benchmarks/clang-22337,6171,2470,236
c_benchmarks/clang-22382,4675,687,144
c_benchmarks/clang-22704,5197,4947,78
c_benchmarks/clang-23309,7619,2112,475
c_benchmarks/clang-23353,6736,1466,113
c_benchmarks/clang-25900,4833,1806,252
c_benchmarks/clang-26350,8256,7521,193
c_benchmarks/clang-26760,3863,3056,91
c_benchmarks/clang-27137,9088,13507,325
c_benchmarks/clang-27747,3177,1272,117
c_benchmarks/clang-31259,4606,2706,384
c_benchmarks/gcc-58731,4651,3518,213
c_benchmarks/gcc-59903,7182,4196,382
c_benchmarks/gcc-60116,8838,3424,443
c_benchmarks/gcc-60452,7044,2509,342
c_benchmarks/gcc-61047,3275,994,266
c_benchmarks/gcc-61383,5572,3390,274
c_benchmarks/gcc-61917,5430,1927,142
c_benchmarks/gcc-64990,5877,4797,239
c_benchmarks/gcc-65383,3959,1391,153
c_benchmarks/gcc-66186,5049,2972,327
c_benchmarks/gcc-66375,6245,4181,440
c_benchmarks/gcc-66412,7145,2738,342
c_benchmarks/gcc-66691,9028,4246,746
c_benchmarks/gcc-70127,5647,5940,301
c_benchmarks/gcc-70586,7440,8669,367
c_benchmarks/gcc-71626,1010,63,51
