Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,48812,9086,414
c_benchmarks/clang-19595,35358,7654,260
c_benchmarks/clang-20680,53971,12285,366
c_benchmarks/clang-21467,57086,10735,415
c_benchmarks/clang-21582,78238,10522,999
c_benchmarks/clang-22337,50012,7647,323
c_benchmarks/clang-22382,48986,3317,194
c_benchmarks/clang-22704,54709,16630,113
c_benchmarks/clang-23309,88648,11006,1067
c_benchmarks/clang-23353,86215,9371,153
c_benchmarks/clang-25900,50040,4492,346
c_benchmarks/clang-26350,79156,35707,378
c_benchmarks/clang-26760,43287,7871,229
c_benchmarks/clang-27137,116131,91044,545
c_benchmarks/clang-27747,24715,1961,244
c_benchmarks/clang-31259,69595,9516,594
c_benchmarks/gcc-58731,29939,6069,375
c_benchmarks/gcc-59903,70439,8671,734
c_benchmarks/gcc-60116,88968,10247,1137
c_benchmarks/gcc-60452,64386,8763,442
c_benchmarks/gcc-61047,48283,4573,505
c_benchmarks/gcc-61383,58988,6982,421
c_benchmarks/gcc-61917,48138,7966,311
c_benchmarks/gcc-64990,61845,23447,378
c_benchmarks/gcc-65383,52651,6211,217
c_benchmarks/gcc-66186,45864,7656,508
c_benchmarks/gcc-66375,83372,21762,740
c_benchmarks/gcc-66412,64366,8005,442
c_benchmarks/gcc-66691,79773,10746,1022
c_benchmarks/gcc-70127,67060,34324,576
c_benchmarks/gcc-70586,94138,49882,793
c_benchmarks/gcc-71626,17401,480,53
