Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,53,170,16
xml_benchmarks/xml-10,248,953,37
xml_benchmarks/xml-11,85,279,16
xml_benchmarks/xml-12,124,280,16
xml_benchmarks/xml-13,125,324,25
xml_benchmarks/xml-14,389,1032,43
xml_benchmarks/xml-15,105,335,16
xml_benchmarks/xml-16,97,304,16
xml_benchmarks/xml-17,26,70,15
xml_benchmarks/xml-18,91,288,16
xml_benchmarks/xml-19,165,439,36
xml_benchmarks/xml-2,18,46,15
xml_benchmarks/xml-20,367,1427,64
xml_benchmarks/xml-21,257,987,46
xml_benchmarks/xml-22,100,261,24
xml_benchmarks/xml-23,383,1596,54
xml_benchmarks/xml-24,382,1401,70
xml_benchmarks/xml-25,360,1432,55
xml_benchmarks/xml-26,431,1786,64
xml_benchmarks/xml-27,712,2884,102
xml_benchmarks/xml-28,630,2521,97
xml_benchmarks/xml-29,334,1308,48
xml_benchmarks/xml-3,20,61,15
xml_benchmarks/xml-30,700,2861,78
xml_benchmarks/xml-4,202,794,13
xml_benchmarks/xml-5,20,61,15
xml_benchmarks/xml-6,107,405,30
xml_benchmarks/xml-7,159,443,33
xml_benchmarks/xml-8,84,259,16
xml_benchmarks/xml-9,277,891,37
