Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,53,289,16
xml_benchmarks/xml-10,252,1573,37
xml_benchmarks/xml-11,86,470,16
xml_benchmarks/xml-12,127,481,16
xml_benchmarks/xml-13,127,513,25
xml_benchmarks/xml-14,394,1485,43
xml_benchmarks/xml-15,108,490,16
xml_benchmarks/xml-16,99,443,16
xml_benchmarks/xml-17,26,102,15
xml_benchmarks/xml-18,93,428,16
xml_benchmarks/xml-19,166,650,36
xml_benchmarks/xml-2,18,71,15
xml_benchmarks/xml-20,373,2163,64
xml_benchmarks/xml-21,248,1514,46
xml_benchmarks/xml-22,101,400,24
xml_benchmarks/xml-23,385,2369,51
xml_benchmarks/xml-24,387,2284,70
xml_benchmarks/xml-25,362,2248,55
xml_benchmarks/xml-26,441,2964,64
xml_benchmarks/xml-27,724,4739,102
xml_benchmarks/xml-28,641,4112,97
xml_benchmarks/xml-29,336,2049,48
xml_benchmarks/xml-3,20,91,15
xml_benchmarks/xml-30,706,4626,78
xml_benchmarks/xml-4,206,1317,13
xml_benchmarks/xml-5,21,90,15
xml_benchmarks/xml-6,110,701,30
xml_benchmarks/xml-7,160,687,33
xml_benchmarks/xml-8,86,388,16
xml_benchmarks/xml-9,282,1602,37
