Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,54,267,16
xml_benchmarks/xml-10,253,1424,37
xml_benchmarks/xml-11,86,421,16
xml_benchmarks/xml-12,126,452,16
xml_benchmarks/xml-13,128,485,25
xml_benchmarks/xml-14,397,1484,43
xml_benchmarks/xml-15,109,474,16
xml_benchmarks/xml-16,99,400,16
xml_benchmarks/xml-17,26,93,15
xml_benchmarks/xml-18,92,384,16
xml_benchmarks/xml-19,166,606,36
xml_benchmarks/xml-2,19,67,15
xml_benchmarks/xml-20,376,2132,64
xml_benchmarks/xml-21,249,1479,46
xml_benchmarks/xml-22,100,364,24
xml_benchmarks/xml-23,384,2228,51
xml_benchmarks/xml-24,384,2086,70
xml_benchmarks/xml-25,363,2140,55
xml_benchmarks/xml-26,438,2746,64
xml_benchmarks/xml-27,723,4428,102
xml_benchmarks/xml-28,639,3824,97
xml_benchmarks/xml-29,334,1941,48
xml_benchmarks/xml-3,21,93,15
xml_benchmarks/xml-30,706,4252,78
xml_benchmarks/xml-4,204,1146,13
xml_benchmarks/xml-5,21,87,15
xml_benchmarks/xml-6,110,650,30
xml_benchmarks/xml-7,160,642,33
xml_benchmarks/xml-8,86,355,16
xml_benchmarks/xml-9,279,1367,37
