Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,200,664,35
xml_benchmarks/xml-10,879,3111,102
xml_benchmarks/xml-11,228,683,37
xml_benchmarks/xml-12,541,1172,93
xml_benchmarks/xml-13,454,1080,78
xml_benchmarks/xml-14,1341,3074,157
xml_benchmarks/xml-15,361,1154,62
xml_benchmarks/xml-16,310,951,38
xml_benchmarks/xml-17,344,1077,44
xml_benchmarks/xml-18,230,792,39
xml_benchmarks/xml-19,531,1150,56
xml_benchmarks/xml-2,135,348,22
xml_benchmarks/xml-20,585,2180,99
xml_benchmarks/xml-21,813,2879,92
xml_benchmarks/xml-22,507,1089,61
xml_benchmarks/xml-23,1027,3650,112
xml_benchmarks/xml-24,601,2084,97
xml_benchmarks/xml-25,1125,3917,135
xml_benchmarks/xml-26,1239,4687,131
xml_benchmarks/xml-27,1720,6456,188
xml_benchmarks/xml-28,1537,5233,159
xml_benchmarks/xml-29,1323,4741,142
xml_benchmarks/xml-3,113,298,19
xml_benchmarks/xml-30,1365,4996,147
xml_benchmarks/xml-4,681,2407,78
xml_benchmarks/xml-5,139,386,20
xml_benchmarks/xml-6,593,1948,73
xml_benchmarks/xml-7,621,1408,69
xml_benchmarks/xml-8,137,390,24
xml_benchmarks/xml-9,722,2555,79
