Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,138,412,24
xml_benchmarks/xml-10,893,3003,102
xml_benchmarks/xml-11,141,407,24
xml_benchmarks/xml-12,513,1150,87
xml_benchmarks/xml-13,466,1117,78
xml_benchmarks/xml-14,1330,3289,153
xml_benchmarks/xml-15,304,905,51
xml_benchmarks/xml-16,151,470,24
xml_benchmarks/xml-17,88,207,15
xml_benchmarks/xml-18,232,771,39
xml_benchmarks/xml-19,507,1218,54
xml_benchmarks/xml-2,86,165,15
xml_benchmarks/xml-20,584,2215,99
xml_benchmarks/xml-21,799,2594,90
xml_benchmarks/xml-22,508,1219,61
xml_benchmarks/xml-23,1434,5202,165
xml_benchmarks/xml-24,585,2005,96
xml_benchmarks/xml-25,1179,4138,132
xml_benchmarks/xml-26,1121,4026,126
xml_benchmarks/xml-27,1597,5802,186
xml_benchmarks/xml-28,1433,4946,159
xml_benchmarks/xml-29,1231,4310,138
xml_benchmarks/xml-3,88,216,15
xml_benchmarks/xml-30,1328,4662,147
xml_benchmarks/xml-4,706,2406,78
xml_benchmarks/xml-5,85,193,15
xml_benchmarks/xml-6,279,770,30
xml_benchmarks/xml-7,628,1546,69
xml_benchmarks/xml-8,142,361,24
xml_benchmarks/xml-9,586,1612,63
