Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,137,383,24
xml_benchmarks/xml-10,889,2974,102
xml_benchmarks/xml-11,139,382,24
xml_benchmarks/xml-12,511,1083,87
xml_benchmarks/xml-13,460,1082,78
xml_benchmarks/xml-14,1331,3239,153
xml_benchmarks/xml-15,305,950,51
xml_benchmarks/xml-16,148,428,24
xml_benchmarks/xml-17,87,193,15
xml_benchmarks/xml-18,231,718,39
xml_benchmarks/xml-19,508,1185,54
xml_benchmarks/xml-2,84,164,15
xml_benchmarks/xml-20,591,2166,99
xml_benchmarks/xml-21,808,2661,90
xml_benchmarks/xml-22,510,1193,61
xml_benchmarks/xml-23,1434,5064,165
xml_benchmarks/xml-24,584,2002,96
xml_benchmarks/xml-25,837,2856,135
xml_benchmarks/xml-26,1226,4321,138
xml_benchmarks/xml-27,1630,5816,186
xml_benchmarks/xml-28,1477,5001,159
xml_benchmarks/xml-29,1239,4281,138
xml_benchmarks/xml-3,86,202,15
xml_benchmarks/xml-30,1351,4678,147
xml_benchmarks/xml-4,708,2419,78
xml_benchmarks/xml-5,84,189,15
xml_benchmarks/xml-6,279,795,30
xml_benchmarks/xml-7,629,1566,69
xml_benchmarks/xml-8,140,373,24
xml_benchmarks/xml-9,827,2209,90
