Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,3886,4795,260
c_benchmarks/clang-19595,2816,4205,156
c_benchmarks/clang-20680,6542,8200,539
c_benchmarks/clang-21467,4977,6085,177
c_benchmarks/clang-21582,8361,6420,559
c_benchmarks/clang-22337,5198,2268,250
c_benchmarks/clang-22382,3497,611,144
c_benchmarks/clang-22704,3886,8187,72
c_benchmarks/clang-23309,6518,1793,483
c_benchmarks/clang-23353,4516,1171,98
c_benchmarks/clang-25900,3562,962,252
c_benchmarks/clang-26350,5838,6472,241
c_benchmarks/clang-26760,2884,2782,90
c_benchmarks/clang-27137,6731,11039,268
c_benchmarks/clang-27747,2609,1144,150
c_benchmarks/clang-31259,3691,2441,384
c_benchmarks/gcc-58731,2531,3110,213
c_benchmarks/gcc-59903,5186,3758,300
c_benchmarks/gcc-60116,5995,2471,404
c_benchmarks/gcc-60452,5808,2088,350
c_benchmarks/gcc-61047,2619,942,266
c_benchmarks/gcc-61383,4351,3100,274
c_benchmarks/gcc-61917,4232,1827,142
c_benchmarks/gcc-64990,4837,4461,239
c_benchmarks/gcc-65383,3103,1244,153
c_benchmarks/gcc-66186,4147,2918,327
c_benchmarks/gcc-66375,4947,3474,440
c_benchmarks/gcc-66412,5806,2201,350
c_benchmarks/gcc-66691,6935,3566,603
c_benchmarks/gcc-70127,3792,3829,301
c_benchmarks/gcc-70586,6276,6878,197
c_benchmarks/gcc-71626,763,62,51
