Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,54,289,16
xml_benchmarks/xml-10,261,1709,37
xml_benchmarks/xml-11,84,446,16
xml_benchmarks/xml-12,131,473,16
xml_benchmarks/xml-13,134,505,25
xml_benchmarks/xml-14,405,1505,43
xml_benchmarks/xml-15,110,529,16
xml_benchmarks/xml-16,100,482,16
xml_benchmarks/xml-17,24,113,15
xml_benchmarks/xml-18,90,488,16
xml_benchmarks/xml-19,166,679,36
xml_benchmarks/xml-2,20,74,15
xml_benchmarks/xml-20,380,2415,64
xml_benchmarks/xml-21,265,1786,46
xml_benchmarks/xml-22,93,366,24
xml_benchmarks/xml-23,389,2604,51
xml_benchmarks/xml-24,397,2315,70
xml_benchmarks/xml-25,371,2472,55
xml_benchmarks/xml-26,439,3016,64
xml_benchmarks/xml-27,725,4862,102
xml_benchmarks/xml-28,638,4152,97
xml_benchmarks/xml-29,341,2149,48
xml_benchmarks/xml-3,23,109,15
xml_benchmarks/xml-30,709,4799,78
xml_benchmarks/xml-4,209,1312,13
xml_benchmarks/xml-5,19,88,15
xml_benchmarks/xml-6,112,757,30
xml_benchmarks/xml-7,167,669,33
xml_benchmarks/xml-8,85,365,16
xml_benchmarks/xml-9,292,1876,37
