Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,54,296,16
xml_benchmarks/xml-10,261,1732,37
xml_benchmarks/xml-11,85,448,16
xml_benchmarks/xml-12,132,454,16
xml_benchmarks/xml-13,134,501,25
xml_benchmarks/xml-14,405,1488,43
xml_benchmarks/xml-15,111,558,16
xml_benchmarks/xml-16,100,501,16
xml_benchmarks/xml-17,24,105,15
xml_benchmarks/xml-18,90,466,16
xml_benchmarks/xml-19,166,618,36
xml_benchmarks/xml-2,21,81,15
xml_benchmarks/xml-20,380,2491,64
xml_benchmarks/xml-21,265,1792,46
xml_benchmarks/xml-22,93,327,24
xml_benchmarks/xml-23,389,2702,51
xml_benchmarks/xml-24,397,2418,70
xml_benchmarks/xml-25,372,2516,55
xml_benchmarks/xml-26,440,3200,64
xml_benchmarks/xml-27,724,5018,102
xml_benchmarks/xml-28,638,4298,97
xml_benchmarks/xml-29,342,2238,48
xml_benchmarks/xml-3,23,107,15
xml_benchmarks/xml-30,710,4878,78
xml_benchmarks/xml-4,210,1332,13
xml_benchmarks/xml-5,19,87,15
xml_benchmarks/xml-6,113,782,30
xml_benchmarks/xml-7,167,644,33
xml_benchmarks/xml-8,85,417,16
xml_benchmarks/xml-9,292,1925,37
