Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,294,768,33
xml_benchmarks/xml-10,1245,3056,102
xml_benchmarks/xml-11,727,1774,90
xml_benchmarks/xml-12,762,1493,96
xml_benchmarks/xml-13,630,1300,78
xml_benchmarks/xml-14,1837,3796,153
xml_benchmarks/xml-15,878,2093,108
xml_benchmarks/xml-16,730,1628,60
xml_benchmarks/xml-17,1016,2263,87
xml_benchmarks/xml-18,313,732,39
xml_benchmarks/xml-19,739,1481,54
xml_benchmarks/xml-2,740,1826,60
xml_benchmarks/xml-20,860,2415,99
xml_benchmarks/xml-21,1249,3348,93
xml_benchmarks/xml-22,760,1622,61
xml_benchmarks/xml-23,2673,7931,189
xml_benchmarks/xml-24,900,2415,96
xml_benchmarks/xml-25,1439,4312,135
xml_benchmarks/xml-26,2027,6570,126
xml_benchmarks/xml-27,2912,9367,195
xml_benchmarks/xml-28,2708,8021,159
xml_benchmarks/xml-29,2273,6532,147
xml_benchmarks/xml-3,324,794,36
xml_benchmarks/xml-30,2143,6257,147
xml_benchmarks/xml-4,949,2499,78
xml_benchmarks/xml-5,435,1047,33
xml_benchmarks/xml-6,1497,3890,120
xml_benchmarks/xml-7,875,1897,69
xml_benchmarks/xml-8,1718,3405,138
xml_benchmarks/xml-9,839,1720,63
