Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,43532,8624,502
c_benchmarks/clang-19595,31698,7439,267
c_benchmarks/clang-20680,57550,12518,315
c_benchmarks/clang-21467,52375,10118,415
c_benchmarks/clang-21582,77558,9609,1164
c_benchmarks/clang-22337,43818,6508,311
c_benchmarks/clang-22382,39339,2537,194
c_benchmarks/clang-22704,45141,11482,95
c_benchmarks/clang-23309,74526,8185,1008
c_benchmarks/clang-23353,69959,7763,153
c_benchmarks/clang-25900,39656,3853,501
c_benchmarks/clang-26350,65490,23110,612
c_benchmarks/clang-26760,32163,5631,261
c_benchmarks/clang-27137,100969,69076,514
c_benchmarks/clang-27747,23578,2072,277
c_benchmarks/clang-31259,54013,7875,541
c_benchmarks/gcc-58731,26602,5942,396
c_benchmarks/gcc-59903,54579,7637,683
c_benchmarks/gcc-60116,71388,8985,1015
c_benchmarks/gcc-60452,55250,7532,523
c_benchmarks/gcc-61047,43710,3838,505
c_benchmarks/gcc-61383,50429,5847,441
c_benchmarks/gcc-61917,40892,6471,311
c_benchmarks/gcc-64990,50239,19599,386
c_benchmarks/gcc-65383,40804,5588,240
c_benchmarks/gcc-66186,44658,7497,559
c_benchmarks/gcc-66375,75957,21498,865
c_benchmarks/gcc-66412,55164,7115,523
c_benchmarks/gcc-66691,68695,9060,1056
c_benchmarks/gcc-70127,58857,28410,538
c_benchmarks/gcc-70586,85526,39701,833
c_benchmarks/gcc-71626,9305,332,53
