Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,206,542,24
xml_benchmarks/xml-10,1237,3251,102
xml_benchmarks/xml-11,198,524,24
xml_benchmarks/xml-12,667,1373,87
xml_benchmarks/xml-13,623,1338,78
xml_benchmarks/xml-14,1831,3993,153
xml_benchmarks/xml-15,400,1033,51
xml_benchmarks/xml-16,224,513,24
xml_benchmarks/xml-17,146,282,15
xml_benchmarks/xml-18,307,770,39
xml_benchmarks/xml-19,748,1662,54
xml_benchmarks/xml-2,139,247,15
xml_benchmarks/xml-20,848,2481,99
xml_benchmarks/xml-21,1168,3343,90
xml_benchmarks/xml-22,747,1662,61
xml_benchmarks/xml-23,2192,7014,165
xml_benchmarks/xml-24,903,2661,96
xml_benchmarks/xml-25,2013,6276,132
xml_benchmarks/xml-26,2026,7167,126
xml_benchmarks/xml-27,2873,9869,195
xml_benchmarks/xml-28,2655,8403,159
xml_benchmarks/xml-29,1978,6030,138
xml_benchmarks/xml-3,139,313,15
xml_benchmarks/xml-30,2118,6768,147
xml_benchmarks/xml-4,946,2744,78
xml_benchmarks/xml-5,129,276,15
xml_benchmarks/xml-6,1497,4028,120
xml_benchmarks/xml-7,878,2009,69
xml_benchmarks/xml-8,197,443,24
xml_benchmarks/xml-9,833,1846,63
