benchmark,benchmark_type,framework,algorithm,time,size,query
clang-18596,c,HDD,SAddmin,8624,502,43532
clang-18596,c,HDD,Wddmin,9086,414,48812
clang-18596,c,HDD,ddmin,12968,452,86158
clang-18596,c,Perses,SAddmin,5039,260,4789
clang-18596,c,Perses,Wddmin,4963,260,4893
clang-18596,c,Perses,ddmin,5049,260,5316
clang-19595,c,HDD,SAddmin,7439,267,31698
clang-19595,c,HDD,Wddmin,7654,260,35358
clang-19595,c,HDD,ddmin,9978,285,65855
clang-19595,c,Perses,SAddmin,4096,156,3460
clang-19595,c,Perses,Wddmin,4049,156,3560
clang-19595,c,Perses,ddmin,4137,156,3819
clang-20680,c,HDD,SAddmin,12518,315,57550
clang-20680,c,HDD,Wddmin,12285,366,53971
clang-20680,c,HDD,ddmin,18178,377,101869
clang-20680,c,Perses,SAddmin,12546,537,7978
clang-20680,c,Perses,Wddmin,12720,525,8022
clang-20680,c,Perses,ddmin,14336,525,9173
clang-21467,c,HDD,SAddmin,10118,415,52375
clang-21467,c,HDD,Wddmin,10735,415,57086
clang-21467,c,HDD,ddmin,16785,455,118873
clang-21467,c,Perses,SAddmin,6187,177,5775
clang-21467,c,Perses,Wddmin,6413,178,5779
clang-21467,c,Perses,ddmin,6431,177,6200
clang-21582,c,HDD,SAddmin,9609,1164,77558
clang-21582,c,HDD,Wddmin,10522,999,78238
clang-21582,c,HDD,ddmin,16881,1197,124000
clang-21582,c,Perses,SAddmin,7028,559,9554
clang-21582,c,Perses,Wddmin,8076,559,10826
clang-21582,c,Perses,ddmin,7100,559,10077
clang-22337,c,HDD,SAddmin,6508,311,43818
clang-22337,c,HDD,Wddmin,7647,323,50012
clang-22337,c,HDD,ddmin,15627,299,100901
clang-22337,c,Perses,SAddmin,2496,236,6165
clang-22337,c,Perses,Wddmin,2627,236,6196
clang-22337,c,Perses,ddmin,2493,236,6727
clang-22382,c,HDD,SAddmin,2537,194,39339
clang-22382,c,HDD,Wddmin,3317,194,48986
clang-22382,c,HDD,ddmin,6259,182,91087
clang-22382,c,Perses,SAddmin,681,144,4663
clang-22382,c,Perses,Wddmin,719,144,4896
clang-22382,c,Perses,ddmin,814,144,5190
clang-22704,c,HDD,SAddmin,11482,95,45141
clang-22704,c,HDD,Wddmin,16630,113,54709
clang-22704,c,HDD,ddmin,23793,95,80275
clang-22704,c,Perses,SAddmin,5209,78,5207
clang-22704,c,Perses,Wddmin,5510,78,5349
clang-22704,c,Perses,ddmin,6023,78,6205
clang-23309,c,HDD,SAddmin,8185,1008,74526
clang-23309,c,HDD,Wddmin,11006,1067,88648
clang-23309,c,HDD,ddmin,25262,1086,162065
clang-23309,c,Perses,SAddmin,2344,475,7632
clang-23309,c,Perses,Wddmin,2262,475,7816
clang-23309,c,Perses,ddmin,2408,475,8323
clang-23353,c,HDD,SAddmin,7763,153,69959
clang-23353,c,HDD,Wddmin,9371,153,86215
clang-23353,c,HDD,ddmin,16774,144,147651
clang-23353,c,Perses,SAddmin,1482,113,6736
clang-23353,c,Perses,Wddmin,1669,98,6342
clang-23353,c,Perses,ddmin,1411,98,7320
clang-25900,c,HDD,SAddmin,3853,501,39656
clang-25900,c,HDD,Wddmin,4492,346,50040
clang-25900,c,HDD,ddmin,15836,478,106939
clang-25900,c,Perses,SAddmin,2143,252,4766
clang-25900,c,Perses,Wddmin,1102,252,4790
clang-25900,c,Perses,ddmin,1223,252,5286
clang-26350,c,HDD,SAddmin,23110,612,65490
clang-26350,c,HDD,Wddmin,35707,378,79156
clang-26350,c,HDD,ddmin,56300,391,117835
clang-26350,c,Perses,SAddmin,7508,193,7935
clang-26350,c,Perses,Wddmin,8450,189,8363
clang-26350,c,Perses,ddmin,7132,193,7283
clang-26760,c,HDD,SAddmin,5631,261,32163
clang-26760,c,HDD,Wddmin,7871,229,43287
clang-26760,c,HDD,ddmin,32379,321,72139
clang-26760,c,Perses,SAddmin,3179,91,3886
clang-26760,c,Perses,Wddmin,3613,91,3836
clang-26760,c,Perses,ddmin,4331,91,4242
clang-27137,c,HDD,SAddmin,69076,514,100969
clang-27137,c,HDD,Wddmin,91044,545,116131
clang-27137,c,HDD,ddmin,292484,582,259586
clang-27137,c,Perses,SAddmin,13296,325,9084
clang-27137,c,Perses,Wddmin,14501,268,8704
clang-27137,c,Perses,ddmin,15773,268,9650
clang-27747,c,HDD,SAddmin,2072,277,23578
clang-27747,c,HDD,Wddmin,1961,244,24715
clang-27747,c,HDD,ddmin,3076,299,41828
clang-27747,c,Perses,SAddmin,1174,117,3146
clang-27747,c,Perses,Wddmin,1169,117,3298
clang-27747,c,Perses,ddmin,1561,117,4075
clang-31259,c,HDD,SAddmin,7875,541,54013
clang-31259,c,HDD,Wddmin,9516,594,69595
clang-31259,c,HDD,ddmin,17456,556,114893
clang-31259,c,Perses,SAddmin,2711,384,4609
clang-31259,c,Perses,Wddmin,2645,384,4600
clang-31259,c,Perses,ddmin,2728,384,4981
gcc-58731,c,HDD,SAddmin,5942,396,26602
gcc-58731,c,HDD,Wddmin,6069,375,29939
gcc-58731,c,HDD,ddmin,8965,431,49486
gcc-58731,c,Perses,SAddmin,3406,213,4651
gcc-58731,c,Perses,Wddmin,3379,213,4804
gcc-58731,c,Perses,ddmin,3273,213,5342
gcc-59903,c,HDD,SAddmin,7637,683,54579
gcc-59903,c,HDD,Wddmin,8671,734,70439
gcc-59903,c,HDD,ddmin,16400,545,116611
gcc-59903,c,Perses,SAddmin,4266,382,7183
gcc-59903,c,Perses,Wddmin,4549,382,7270
gcc-59903,c,Perses,ddmin,5093,497,7721
gcc-60116,c,HDD,SAddmin,8985,1015,71388
gcc-60116,c,HDD,Wddmin,10247,1137,88968
gcc-60116,c,HDD,ddmin,18809,1281,145785
gcc-60116,c,Perses,SAddmin,3069,443,8836
gcc-60116,c,Perses,Wddmin,3090,443,9039
gcc-60116,c,Perses,ddmin,3080,443,9690
gcc-60452,c,HDD,SAddmin,7532,523,55250
gcc-60452,c,HDD,Wddmin,8763,442,64386
gcc-60452,c,HDD,ddmin,20945,491,130676
gcc-60452,c,Perses,SAddmin,2581,342,7082
gcc-60452,c,Perses,Wddmin,2259,350,7147
gcc-60452,c,Perses,ddmin,2368,350,7775
gcc-61047,c,HDD,SAddmin,3838,505,43710
gcc-61047,c,HDD,Wddmin,4573,505,48283
gcc-61047,c,HDD,ddmin,8360,495,81936
gcc-61047,c,Perses,SAddmin,1094,266,3275
gcc-61047,c,Perses,Wddmin,997,266,3295
gcc-61047,c,Perses,ddmin,1274,266,3248
gcc-61383,c,HDD,SAddmin,5847,441,50429
gcc-61383,c,HDD,Wddmin,6982,421,58988
gcc-61383,c,HDD,ddmin,13997,579,107994
gcc-61383,c,Perses,SAddmin,3440,274,5461
gcc-61383,c,Perses,Wddmin,3149,274,5604
gcc-61383,c,Perses,ddmin,3095,271,6354
gcc-61917,c,HDD,SAddmin,6471,311,40892
gcc-61917,c,HDD,Wddmin,7966,311,48138
gcc-61917,c,HDD,ddmin,14933,293,93218
