benchmark_type,framework,algorithm,mean_type,time,size,query
c,HDD,ddmin,arithmetic,31528,517,111212
c,HDD,ddmin,geometric,18796,422,104682
xml,HDD,ddmin,arithmetic,3208,98,1216
xml,HDD,ddmin,geometric,2504,87,1012
c,HDD,Wddmin,arithmetic,14519,477,61267
c,HDD,Wddmin,geometric,9487,396,57171
xml,HDD,Wddmin,arithmetic,2748,81,1028
xml,HDD,Wddmin,geometric,1629,62,683
c,HDD,SAddmin,arithmetic,11920,501,52606
c,HDD,SAddmin,geometric,8060,416,48529
xml,HDD,SAddmin,arithmetic,2962,81,1028
xml,HDD,SAddmin,geometric,1750,62,683
c,Perses,ddmin,arithmetic,4250,281,6395
c,Perses,ddmin,geometric,3074,236,5958
xml,Perses,ddmin,arithmetic,1297,37,238
xml,Perses,ddmin,geometric,753,30,155
c,Perses,Wddmin,arithmetic,4119,278,5949
c,Perses,Wddmin,geometric,2914,237,5530
xml,Perses,Wddmin,arithmetic,1283,37,237
xml,Perses,Wddmin,geometric,739,30,155
c,Perses,SAddmin,arithmetic,4091,285,5874
c,Perses,SAddmin,geometric,2976,241,5459
xml,Perses,SAddmin,arithmetic,1377,37,237
xml,Perses,SAddmin,geometric,793,30,154
