Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,4893,4963,260
c_benchmarks/clang-19595,3560,4049,156
c_benchmarks/clang-20680,8022,12720,525
c_benchmarks/clang-21467,5779,6413,178
c_benchmarks/clang-21582,10826,8076,559
c_benchmarks/clang-22337,6196,2627,236
c_benchmarks/clang-22382,4896,719,144
c_benchmarks/clang-22704,5349,5510,78
c_benchmarks/clang-23309,7816,2262,475
c_benchmarks/clang-23353,6342,1669,98
c_benchmarks/clang-25900,4790,1102,252
c_benchmarks/clang-26350,8363,8450,189
c_benchmarks/clang-26760,3836,3613,91
c_benchmarks/clang-27137,8704,14501,268
c_benchmarks/clang-27747,3298,1169,117
c_benchmarks/clang-31259,4600,2645,384
c_benchmarks/gcc-58731,4804,3379,213
c_benchmarks/gcc-59903,7270,4549,382
c_benchmarks/gcc-60116,9039,3090,443
c_benchmarks/gcc-60452,7147,2259,350
c_benchmarks/gcc-61047,3295,997,266
c_benchmarks/gcc-61383,5604,3149,274
c_benchmarks/gcc-61917,5470,1779,142
c_benchmarks/gcc-64990,6183,4911,239
c_benchmarks/gcc-65383,3992,1337,153
c_benchmarks/gcc-66186,5083,2932,327
c_benchmarks/gcc-66375,6386,3891,440
c_benchmarks/gcc-66412,7147,2311,350
c_benchmarks/gcc-66691,8007,3655,602
c_benchmarks/gcc-70127,5147,4546,301
c_benchmarks/gcc-71626,1016,64,51
c_demo_benchmarks/gcc-70586,7539,8500,367
