Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,29282,8153,494
c_benchmarks/clang-19595,12043,6094,284
c_benchmarks/clang-20680,15846,9640,431
c_benchmarks/clang-21467,15518,8235,432
c_benchmarks/clang-21582,47110,7436,992
c_benchmarks/clang-22337,14732,2790,319
c_benchmarks/clang-22382,11848,1063,182
c_benchmarks/clang-22704,9919,8862,146
c_benchmarks/clang-23309,35533,5023,1105
c_benchmarks/clang-23353,12550,2499,172
c_benchmarks/clang-25900,14373,2109,569
c_benchmarks/clang-26350,30543,14676,461
c_benchmarks/clang-26760,23184,5946,309
c_benchmarks/clang-27137,37397,27097,594
c_benchmarks/clang-27747,19235,2186,346
c_benchmarks/clang-31259,14661,3963,634
c_benchmarks/gcc-58731,10936,6161,420
c_benchmarks/gcc-59903,41419,5690,706
c_benchmarks/gcc-60116,43509,5686,1187
c_benchmarks/gcc-60452,17684,3051,590
c_benchmarks/gcc-61047,14292,1927,574
c_benchmarks/gcc-61383,21807,3916,492
c_benchmarks/gcc-61917,15623,3622,289
c_benchmarks/gcc-64990,23361,11990,818
c_benchmarks/gcc-65383,13882,2393,275
c_benchmarks/gcc-66186,20332,7938,591
c_benchmarks/gcc-66375,19188,9526,857
c_benchmarks/gcc-66412,36154,4438,831
c_benchmarks/gcc-66691,37274,6081,984
c_benchmarks/gcc-70127,33861,17319,692
c_benchmarks/gcc-70586,31047,15815,985
c_benchmarks/gcc-71626,3673,194,53
