Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,306,1069,51
xml_benchmarks/xml-10,884,3169,102
xml_benchmarks/xml-11,138,404,24
xml_benchmarks/xml-12,576,1225,99
xml_benchmarks/xml-13,454,1083,78
xml_benchmarks/xml-14,1392,3197,162
xml_benchmarks/xml-15,298,950,51
xml_benchmarks/xml-16,219,612,24
xml_benchmarks/xml-17,732,2431,87
xml_benchmarks/xml-18,224,750,39
xml_benchmarks/xml-19,519,1128,54
xml_benchmarks/xml-2,87,174,15
xml_benchmarks/xml-20,589,2207,99
xml_benchmarks/xml-21,786,2762,90
xml_benchmarks/xml-22,505,1077,61
xml_benchmarks/xml-23,693,2408,72
xml_benchmarks/xml-24,597,2098,96
xml_benchmarks/xml-25,1248,4273,132
xml_benchmarks/xml-26,1201,4510,126
xml_benchmarks/xml-27,1689,6313,186
xml_benchmarks/xml-28,1550,5300,159
xml_benchmarks/xml-29,1275,4577,138
xml_benchmarks/xml-3,87,200,15
xml_benchmarks/xml-30,1374,5079,147
xml_benchmarks/xml-4,685,2434,78
xml_benchmarks/xml-5,83,192,15
xml_benchmarks/xml-6,651,2141,75
xml_benchmarks/xml-7,619,1393,69
xml_benchmarks/xml-8,137,393,24
xml_benchmarks/xml-9,817,2910,90
