Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,19261,6521,462
c_benchmarks/clang-19595,11695,6094,276
c_benchmarks/clang-20680,17327,8208,362
c_benchmarks/clang-21467,18010,6921,334
c_benchmarks/clang-21582,31920,6600,1106
c_benchmarks/clang-22337,13487,2730,297
c_benchmarks/clang-22382,11862,1006,198
c_benchmarks/clang-22704,9557,5828,103
c_benchmarks/clang-23309,31500,4326,1109
c_benchmarks/clang-23353,10830,2127,134
c_benchmarks/clang-25900,21110,2087,467
c_benchmarks/clang-26350,28358,16193,471
c_benchmarks/clang-26760,12458,3580,252
c_benchmarks/clang-27137,46304,30636,592
c_benchmarks/clang-27747,14701,1456,298
c_benchmarks/clang-31259,17523,4781,548
c_benchmarks/gcc-58731,12178,5372,366
c_benchmarks/gcc-59903,37725,6493,801
c_benchmarks/gcc-60116,32251,5253,1114
c_benchmarks/gcc-60452,18668,2793,555
c_benchmarks/gcc-61047,15648,2065,538
c_benchmarks/gcc-61383,21649,3771,440
c_benchmarks/gcc-61917,12593,2800,295
c_benchmarks/gcc-64990,16555,10502,407
c_benchmarks/gcc-65383,10806,1823,315
c_benchmarks/gcc-66186,13564,5143,461
c_benchmarks/gcc-66375,24130,10485,827
c_benchmarks/gcc-66412,18050,2813,513
c_benchmarks/gcc-66691,20255,3358,566
c_benchmarks/gcc-70127,19439,14299,675
c_benchmarks/gcc-70586,98220,29314,527
c_benchmarks/gcc-71626,3121,134,53
