Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,138,410,24
xml_benchmarks/xml-10,893,3168,102
xml_benchmarks/xml-11,141,422,24
xml_benchmarks/xml-12,513,1156,87
xml_benchmarks/xml-13,466,1117,78
xml_benchmarks/xml-14,1330,3237,153
xml_benchmarks/xml-15,304,882,51
xml_benchmarks/xml-16,151,473,24
xml_benchmarks/xml-17,88,203,15
xml_benchmarks/xml-18,232,807,39
xml_benchmarks/xml-19,507,1192,54
xml_benchmarks/xml-2,86,163,15
xml_benchmarks/xml-20,584,2213,99
xml_benchmarks/xml-21,799,2796,90
xml_benchmarks/xml-22,508,1204,61
xml_benchmarks/xml-23,1434,5229,165
xml_benchmarks/xml-24,585,1986,96
xml_benchmarks/xml-25,1179,4158,132
xml_benchmarks/xml-26,1121,4035,126
xml_benchmarks/xml-27,1597,5806,186
xml_benchmarks/xml-28,1433,4944,159
xml_benchmarks/xml-29,1231,4315,138
xml_benchmarks/xml-3,88,221,15
xml_benchmarks/xml-30,1328,4716,147
xml_benchmarks/xml-4,706,2410,78
xml_benchmarks/xml-5,85,194,15
xml_benchmarks/xml-6,279,802,30
xml_benchmarks/xml-7,628,1537,69
xml_benchmarks/xml-8,142,363,24
xml_benchmarks/xml-9,586,2024,63
