Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,21787,6604,482
c_benchmarks/clang-19595,10557,6000,244
c_benchmarks/clang-20680,17319,8636,360
c_benchmarks/clang-21467,15312,7120,310
c_benchmarks/clang-21582,82209,12879,1043
c_benchmarks/clang-22337,14532,2580,301
c_benchmarks/clang-22382,10756,962,200
c_benchmarks/clang-22704,8727,6192,90
c_benchmarks/clang-23309,44023,5206,1076
c_benchmarks/clang-23353,11025,1994,218
c_benchmarks/clang-25900,22325,2121,471
c_benchmarks/clang-26350,31165,16613,455
c_benchmarks/clang-26760,18206,4011,276
c_benchmarks/clang-27137,33660,27711,661
c_benchmarks/clang-27747,10574,1220,302
c_benchmarks/clang-31259,20490,6028,571
c_benchmarks/gcc-58731,7600,3932,366
c_benchmarks/gcc-59903,26201,6262,410
c_benchmarks/gcc-60116,31966,5834,925
c_benchmarks/gcc-60452,16368,2790,495
c_benchmarks/gcc-61047,19548,2543,512
c_benchmarks/gcc-61383,26620,4052,514
c_benchmarks/gcc-61917,13227,2857,300
c_benchmarks/gcc-64990,13983,10759,467
c_benchmarks/gcc-65383,11592,1978,275
c_benchmarks/gcc-66186,24122,7606,503
c_benchmarks/gcc-66375,33444,12748,813
c_benchmarks/gcc-66412,18497,2921,525
c_benchmarks/gcc-66691,30987,6207,1039
c_benchmarks/gcc-70127,20036,14080,635
c_benchmarks/gcc-70586,36073,16211,763
c_benchmarks/gcc-71626,3143,229,53
