Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,137,388,24
xml_benchmarks/xml-10,889,2892,102
xml_benchmarks/xml-11,139,367,24
xml_benchmarks/xml-12,511,1092,87
xml_benchmarks/xml-13,460,1088,78
xml_benchmarks/xml-14,1331,3470,153
xml_benchmarks/xml-15,305,965,51
xml_benchmarks/xml-16,148,429,24
xml_benchmarks/xml-17,87,195,15
xml_benchmarks/xml-18,231,680,39
xml_benchmarks/xml-19,508,1345,54
xml_benchmarks/xml-2,84,163,15
xml_benchmarks/xml-20,591,2182,99
xml_benchmarks/xml-21,808,2494,90
xml_benchmarks/xml-22,510,1275,61
xml_benchmarks/xml-23,1434,5197,165
xml_benchmarks/xml-24,584,2043,96
xml_benchmarks/xml-25,837,2972,135
xml_benchmarks/xml-26,1226,4425,138
xml_benchmarks/xml-27,1630,5976,186
xml_benchmarks/xml-28,1477,5228,159
xml_benchmarks/xml-29,1239,4423,138
xml_benchmarks/xml-3,86,203,15
xml_benchmarks/xml-30,1351,4699,147
xml_benchmarks/xml-4,708,2473,78
xml_benchmarks/xml-5,84,190,15
xml_benchmarks/xml-6,279,764,30
xml_benchmarks/xml-7,629,1706,69
xml_benchmarks/xml-8,140,375,24
xml_benchmarks/xml-9,827,1928,90
