Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,3895,5012,260
c_benchmarks/clang-19595,2763,4352,156
c_benchmarks/clang-20680,5990,8175,520
c_benchmarks/clang-21467,4765,6306,158
c_benchmarks/clang-21582,9525,7314,598
c_benchmarks/clang-22382,3384,601,144
c_benchmarks/clang-22704,4388,4504,78
c_benchmarks/clang-23309,6436,1771,483
c_benchmarks/clang-23353,5084,1529,113
c_benchmarks/clang-25900,3672,966,238
c_benchmarks/clang-26760,3000,2852,106
c_benchmarks/clang-27137,6684,11212,215
c_benchmarks/clang-27747,2653,1382,117
c_benchmarks/clang-31259,3673,2550,384
c_benchmarks/gcc-58731,3398,4133,264
c_benchmarks/gcc-59903,5400,4475,308
c_benchmarks/gcc-60116,7277,2866,443
c_benchmarks/gcc-60452,5851,2163,342
c_benchmarks/gcc-61047,2614,996,268
c_benchmarks/gcc-61383,4929,3112,271
c_benchmarks/gcc-61917,4472,2441,142
c_benchmarks/gcc-64990,5034,4831,239
c_benchmarks/gcc-65383,3097,1337,153
c_benchmarks/gcc-66186,4188,3143,327
c_benchmarks/gcc-66375,5075,3876,440
c_benchmarks/gcc-66412,5788,2248,342
c_benchmarks/gcc-66691,8049,3657,747
c_benchmarks/gcc-70127,3931,4160,301
c_benchmarks/gcc-70586,5444,7323,175
c_benchmarks/gcc-71626,749,58,51
c_demo_short/clang-22337,5581,2516,242
c_demo_short/clang-26350,6029,6950,193
