Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,54,308,16
xml_benchmarks/xml-10,258,1704,37
xml_benchmarks/xml-11,85,448,16
xml_benchmarks/xml-12,133,486,16
xml_benchmarks/xml-13,130,483,25
xml_benchmarks/xml-14,404,1489,43
xml_benchmarks/xml-15,111,496,16
xml_benchmarks/xml-16,99,449,16
xml_benchmarks/xml-17,24,98,15
xml_benchmarks/xml-18,91,460,16
xml_benchmarks/xml-19,164,667,36
xml_benchmarks/xml-2,23,87,15
xml_benchmarks/xml-20,384,2536,64
xml_benchmarks/xml-21,250,1634,46
xml_benchmarks/xml-22,96,377,24
xml_benchmarks/xml-23,267,1650,42
xml_benchmarks/xml-24,405,2295,70
xml_benchmarks/xml-25,374,2453,55
xml_benchmarks/xml-26,438,3093,64
xml_benchmarks/xml-27,724,4943,102
xml_benchmarks/xml-28,634,4075,97
xml_benchmarks/xml-29,334,2095,48
xml_benchmarks/xml-3,23,102,15
xml_benchmarks/xml-30,710,4959,78
xml_benchmarks/xml-4,205,1269,13
xml_benchmarks/xml-5,19,89,15
xml_benchmarks/xml-6,115,785,30
xml_benchmarks/xml-7,166,728,33
xml_benchmarks/xml-8,84,372,16
xml_benchmarks/xml-9,289,1937,37
