Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,3891,4788,260
c_benchmarks/clang-19595,2836,4190,156
c_benchmarks/clang-20680,6028,6840,546
c_benchmarks/clang-21467,4977,6079,177
c_benchmarks/clang-21582,8361,6314,559
c_benchmarks/clang-22337,5197,2270,250
c_benchmarks/clang-22382,3497,595,144
c_benchmarks/clang-22704,3885,8192,72
c_benchmarks/clang-23309,6518,1819,483
c_benchmarks/clang-23353,4517,1148,98
c_benchmarks/clang-25900,3575,955,252
c_benchmarks/clang-26350,5834,6487,241
c_benchmarks/clang-26760,2882,2780,90
c_benchmarks/clang-27137,6734,11184,268
c_benchmarks/clang-27747,2609,1145,150
c_benchmarks/clang-31259,3692,2436,384
c_benchmarks/gcc-58731,2531,3111,213
c_benchmarks/gcc-59903,5185,3745,300
c_benchmarks/gcc-60116,5995,2457,404
c_benchmarks/gcc-60452,5809,2072,350
c_benchmarks/gcc-61047,2617,951,266
c_benchmarks/gcc-61383,4353,3088,274
c_benchmarks/gcc-61917,4235,1842,142
c_benchmarks/gcc-64990,4837,4460,239
c_benchmarks/gcc-65383,3103,1245,153
c_benchmarks/gcc-66186,4147,2894,327
c_benchmarks/gcc-66375,4947,3470,440
c_benchmarks/gcc-66412,5804,2203,350
c_benchmarks/gcc-66691,6934,3580,603
c_benchmarks/gcc-70127,3792,3831,301
c_benchmarks/gcc-70586,6274,6748,197
c_benchmarks/gcc-71626,761,58,51
