Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,54,290,16
xml_benchmarks/xml-10,263,1710,37
xml_benchmarks/xml-11,84,449,16
xml_benchmarks/xml-12,132,485,16
xml_benchmarks/xml-13,135,499,25
xml_benchmarks/xml-14,406,1491,43
xml_benchmarks/xml-15,110,524,16
xml_benchmarks/xml-16,100,480,16
xml_benchmarks/xml-17,24,119,15
xml_benchmarks/xml-18,90,487,16
xml_benchmarks/xml-19,165,698,36
xml_benchmarks/xml-2,20,73,15
xml_benchmarks/xml-20,378,2397,64
xml_benchmarks/xml-21,264,1781,46
xml_benchmarks/xml-22,93,368,24
xml_benchmarks/xml-23,388,2587,51
xml_benchmarks/xml-24,398,2323,70
xml_benchmarks/xml-25,370,2473,55
xml_benchmarks/xml-26,439,3010,64
xml_benchmarks/xml-27,724,4850,102
xml_benchmarks/xml-28,639,4155,97
xml_benchmarks/xml-29,340,2133,48
xml_benchmarks/xml-3,23,113,15
xml_benchmarks/xml-30,708,4805,78
xml_benchmarks/xml-4,210,1309,13
xml_benchmarks/xml-5,19,88,15
xml_benchmarks/xml-6,113,759,30
xml_benchmarks/xml-7,169,682,33
xml_benchmarks/xml-8,84,371,16
xml_benchmarks/xml-9,290,1879,37
