Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,3882,4719,260
c_benchmarks/clang-19595,2783,4214,156
c_benchmarks/clang-20680,6044,6795,546
c_benchmarks/clang-21467,4978,6081,177
c_benchmarks/clang-21582,8361,6522,559
c_benchmarks/clang-22337,5206,2243,250
c_benchmarks/clang-22382,3498,619,144
c_benchmarks/clang-22704,3884,8074,72
c_benchmarks/clang-23309,6520,1770,483
c_benchmarks/clang-23353,4517,1109,98
c_benchmarks/clang-25900,3563,909,252
c_benchmarks/clang-26350,5839,6418,241
c_benchmarks/clang-26760,2889,2782,90
c_benchmarks/clang-27137,6729,10904,268
c_benchmarks/clang-27747,2609,1143,150
c_benchmarks/clang-31259,3691,2463,384
c_benchmarks/gcc-58731,2531,3171,213
c_benchmarks/gcc-59903,5186,3637,300
c_benchmarks/gcc-60116,5997,2479,404
c_benchmarks/gcc-60452,5813,2360,350
c_benchmarks/gcc-61047,2616,925,266
c_benchmarks/gcc-61383,4352,3089,274
c_benchmarks/gcc-61917,4231,1802,142
c_benchmarks/gcc-64990,4837,4437,239
c_benchmarks/gcc-65383,3107,1291,153
c_benchmarks/gcc-66186,4147,3039,327
c_benchmarks/gcc-66375,4952,3480,440
c_benchmarks/gcc-66412,5803,2152,350
c_benchmarks/gcc-66691,6934,3563,603
c_benchmarks/gcc-70127,3793,3877,301
c_benchmarks/gcc-70586,6281,6971,197
c_benchmarks/gcc-71626,761,61,51
