Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,54,308,16
xml_benchmarks/xml-10,262,1765,37
xml_benchmarks/xml-11,85,452,16
xml_benchmarks/xml-12,132,465,16
xml_benchmarks/xml-13,136,502,25
xml_benchmarks/xml-14,403,1492,43
xml_benchmarks/xml-15,110,555,16
xml_benchmarks/xml-16,100,505,16
xml_benchmarks/xml-17,24,103,15
xml_benchmarks/xml-18,90,464,16
xml_benchmarks/xml-19,167,620,36
xml_benchmarks/xml-2,21,81,15
xml_benchmarks/xml-20,381,2558,64
xml_benchmarks/xml-21,266,1792,46
xml_benchmarks/xml-22,94,327,24
xml_benchmarks/xml-23,389,2719,51
xml_benchmarks/xml-24,398,2442,70
xml_benchmarks/xml-25,372,2539,55
xml_benchmarks/xml-26,441,3226,64
xml_benchmarks/xml-27,723,5057,102
xml_benchmarks/xml-28,639,4315,97
xml_benchmarks/xml-29,341,2243,48
xml_benchmarks/xml-3,23,106,15
xml_benchmarks/xml-30,711,4946,78
xml_benchmarks/xml-4,211,1337,13
xml_benchmarks/xml-5,19,88,15
xml_benchmarks/xml-6,113,786,30
xml_benchmarks/xml-7,168,665,33
xml_benchmarks/xml-8,85,419,16
xml_benchmarks/xml-9,290,1984,37
