Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,42388,8515,502
c_benchmarks/clang-19595,31396,7408,267
c_benchmarks/clang-20680,46590,11101,366
c_benchmarks/clang-21467,44661,9684,415
c_benchmarks/clang-21582,77849,9864,1164
c_benchmarks/clang-22337,43332,6472,317
c_benchmarks/clang-22382,38383,2579,188
c_benchmarks/clang-22704,46122,11672,95
c_benchmarks/clang-23309,68970,7944,1018
c_benchmarks/clang-23353,70874,8049,153
c_benchmarks/clang-25900,44760,3947,394
c_benchmarks/clang-26350,61811,23652,612
c_benchmarks/clang-26760,33321,5680,235
c_benchmarks/clang-27137,101894,68957,524
c_benchmarks/clang-27747,26699,2110,299
c_benchmarks/clang-31259,54741,7950,541
c_benchmarks/gcc-58731,26717,5833,399
c_benchmarks/gcc-59903,54267,7906,696
c_benchmarks/gcc-60116,77037,9612,1097
c_benchmarks/gcc-60452,56192,7880,523
c_benchmarks/gcc-61047,43908,3953,505
c_benchmarks/gcc-61383,52659,6155,441
c_benchmarks/gcc-61917,41457,6645,311
c_benchmarks/gcc-64990,51193,20382,386
c_benchmarks/gcc-65383,42328,5876,240
c_benchmarks/gcc-66186,43808,7868,559
c_benchmarks/gcc-66375,77204,22518,865
c_benchmarks/gcc-66412,53728,7075,523
c_benchmarks/gcc-66691,75077,9498,1039
c_benchmarks/gcc-70127,59794,27983,538
c_benchmarks/gcc-70586,86227,38817,816
c_benchmarks/gcc-71626,28202,774,53
