Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,206,527,24
xml_benchmarks/xml-10,1237,3624,102
xml_benchmarks/xml-11,198,508,24
xml_benchmarks/xml-12,667,1699,87
xml_benchmarks/xml-13,620,1790,78
xml_benchmarks/xml-14,1828,4698,153
xml_benchmarks/xml-15,400,1199,51
xml_benchmarks/xml-16,224,667,24
xml_benchmarks/xml-17,146,426,15
xml_benchmarks/xml-18,307,823,39
xml_benchmarks/xml-19,745,1763,54
xml_benchmarks/xml-2,139,276,15
xml_benchmarks/xml-20,845,2474,99
xml_benchmarks/xml-21,1172,3612,90
xml_benchmarks/xml-22,749,1780,61
xml_benchmarks/xml-23,2184,7127,165
xml_benchmarks/xml-24,903,2732,96
xml_benchmarks/xml-25,2005,6420,132
xml_benchmarks/xml-26,2029,7253,126
xml_benchmarks/xml-27,2865,9643,195
xml_benchmarks/xml-28,2685,8456,159
xml_benchmarks/xml-29,1977,5831,138
xml_benchmarks/xml-3,139,307,15
xml_benchmarks/xml-30,2121,5731,147
xml_benchmarks/xml-4,947,2752,78
xml_benchmarks/xml-5,129,284,15
xml_benchmarks/xml-6,1495,3633,120
xml_benchmarks/xml-7,875,2015,69
xml_benchmarks/xml-8,197,463,24
xml_benchmarks/xml-9,837,1491,63
