Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,42588,8876,425
c_benchmarks/clang-19595,31700,7442,267
c_benchmarks/clang-20680,62852,12302,993
c_benchmarks/clang-21467,51668,10057,415
c_benchmarks/clang-21582,77654,10164,1164
c_benchmarks/clang-22337,43804,6770,334
c_benchmarks/clang-22382,38075,2700,194
c_benchmarks/clang-22704,46489,11727,113
c_benchmarks/clang-23309,74967,8936,1012
c_benchmarks/clang-23353,70083,8041,153
c_benchmarks/clang-25900,39684,3407,501
c_benchmarks/clang-26350,60538,22227,612
c_benchmarks/clang-26760,33432,5792,243
c_benchmarks/clang-27137,101441,69363,514
c_benchmarks/clang-27747,23736,2021,285
c_benchmarks/clang-31259,54300,7890,550
c_benchmarks/gcc-58731,26649,5834,396
c_benchmarks/gcc-59903,53966,7608,696
c_benchmarks/gcc-60116,71048,8969,1012
c_benchmarks/gcc-60452,55316,7763,523
c_benchmarks/gcc-61047,43474,3864,505
c_benchmarks/gcc-61383,50779,6147,441
c_benchmarks/gcc-61917,41008,6530,311
c_benchmarks/gcc-64990,50423,20150,386
c_benchmarks/gcc-65383,40582,5252,240
c_benchmarks/gcc-66186,44777,7706,559
c_benchmarks/gcc-66375,75745,21201,865
c_benchmarks/gcc-66412,55233,7486,523
c_benchmarks/gcc-66691,70161,9868,814
c_benchmarks/gcc-70127,59236,28267,549
c_benchmarks/gcc-70586,86162,40175,833
c_benchmarks/gcc-71626,20701,588,53
