Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,4763,5015,260
c_benchmarks/clang-19595,3474,4082,156
c_benchmarks/clang-20680,7002,8248,524
c_benchmarks/clang-21467,5535,6022,177
c_benchmarks/clang-21582,9562,7080,559
c_benchmarks/clang-22337,6167,2489,236
c_benchmarks/clang-22382,4562,670,144
c_benchmarks/clang-22704,5148,4328,78
c_benchmarks/clang-23309,7969,2177,464
c_benchmarks/clang-23353,5803,1134,98
c_benchmarks/clang-25900,4641,1882,252
c_benchmarks/clang-26350,8755,8499,195
c_benchmarks/clang-26760,3790,2974,91
c_benchmarks/clang-27137,9094,13282,325
c_benchmarks/clang-27747,3087,1238,117
c_benchmarks/clang-31259,4609,2716,384
c_benchmarks/gcc-58731,4456,3388,213
c_benchmarks/gcc-59903,7203,4300,382
c_benchmarks/gcc-60116,8788,3120,443
c_benchmarks/gcc-60452,7027,2421,342
c_benchmarks/gcc-61047,3295,1232,266
c_benchmarks/gcc-61383,5617,3443,274
c_benchmarks/gcc-61917,5422,1815,142
c_benchmarks/gcc-64990,5861,4859,239
c_benchmarks/gcc-65383,3915,1341,153
c_benchmarks/gcc-66186,4926,2912,327
c_benchmarks/gcc-66375,6186,3807,440
c_benchmarks/gcc-66412,7062,2836,342
c_benchmarks/gcc-66691,9097,4000,746
c_benchmarks/gcc-70127,5078,4641,301
c_benchmarks/gcc-70586,7434,8994,367
c_benchmarks/gcc-71626,1010,62,51
