Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,54,285,16
xml_benchmarks/xml-10,249,1590,37
xml_benchmarks/xml-11,87,444,16
xml_benchmarks/xml-12,130,534,16
xml_benchmarks/xml-13,130,706,25
xml_benchmarks/xml-14,400,1983,43
xml_benchmarks/xml-15,109,673,16
xml_benchmarks/xml-16,99,463,16
xml_benchmarks/xml-17,26,106,15
xml_benchmarks/xml-18,93,554,16
xml_benchmarks/xml-19,168,741,36
xml_benchmarks/xml-2,19,79,15
xml_benchmarks/xml-20,376,2179,64
xml_benchmarks/xml-21,248,1492,46
xml_benchmarks/xml-22,101,425,24
xml_benchmarks/xml-23,385,2476,51
xml_benchmarks/xml-24,385,2254,70
xml_benchmarks/xml-25,363,2404,55
xml_benchmarks/xml-26,445,3143,64
xml_benchmarks/xml-27,726,4883,102
xml_benchmarks/xml-28,636,4149,97
xml_benchmarks/xml-29,337,2080,48
xml_benchmarks/xml-3,21,102,15
xml_benchmarks/xml-30,707,4434,78
xml_benchmarks/xml-4,206,1264,13
xml_benchmarks/xml-5,21,98,15
xml_benchmarks/xml-6,109,708,30
xml_benchmarks/xml-7,162,723,33
xml_benchmarks/xml-8,86,417,16
xml_benchmarks/xml-9,276,1239,37
