Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,54,289,16
xml_benchmarks/xml-10,252,1545,37
xml_benchmarks/xml-11,87,457,16
xml_benchmarks/xml-12,130,455,16
xml_benchmarks/xml-13,130,513,25
xml_benchmarks/xml-14,400,1499,43
xml_benchmarks/xml-15,107,541,16
xml_benchmarks/xml-16,99,437,16
xml_benchmarks/xml-17,26,97,15
xml_benchmarks/xml-18,92,432,16
xml_benchmarks/xml-19,167,638,36
xml_benchmarks/xml-2,19,72,15
xml_benchmarks/xml-20,375,2174,64
xml_benchmarks/xml-21,247,1436,46
xml_benchmarks/xml-22,101,394,24
xml_benchmarks/xml-23,387,2558,51
xml_benchmarks/xml-24,387,2259,70
xml_benchmarks/xml-25,364,2250,55
xml_benchmarks/xml-26,445,2988,64
xml_benchmarks/xml-27,726,4789,102
xml_benchmarks/xml-28,637,4088,97
xml_benchmarks/xml-29,335,2034,48
xml_benchmarks/xml-3,20,96,15
xml_benchmarks/xml-30,708,4639,78
xml_benchmarks/xml-4,205,1256,13
xml_benchmarks/xml-5,21,97,15
xml_benchmarks/xml-6,109,696,30
xml_benchmarks/xml-7,162,687,33
xml_benchmarks/xml-8,85,393,16
xml_benchmarks/xml-9,282,1539,37
